[4/17/23 02:08PM] Black Widow used command ::collection | Player rights = PLAYER	
[4/17/23 02:09PM] Black Widow used command ::ref | Player rights = PLAYER	
[4/17/23 02:11PM] Black Widow used command ::train | Player rights = PLAYER	
[4/17/23 02:12PM] Black Widow used command ::train | Player rights = PLAYER	
[4/17/23 02:14PM] Black Widow used command ::train | Player rights = PLAYER	
[4/17/23 03:31PM] Black Widow used command ::vote | Player rights = PLAYER	
[4/17/23 03:32PM] Black Widow used command ::veigar | Player rights = PLAYER	
[4/17/23 03:32PM] Black Widow used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:32PM] Black Widow used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:33PM] Black Widow used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:34PM] Black Widow used command ::train | Player rights = PLAYER	
[4/17/23 03:35PM] Black Widow used command ::train | Player rights = PLAYER	
[4/17/23 03:41PM] Black Widow used command ::train | Player rights = PLAYER	
[4/17/23 03:48PM] Black Widow used command ::discord | Player rights = PLAYER	
[4/17/23 03:52PM] Black Widow used command ::train | Player rights = PLAYER	
[4/17/23 04:02PM] Black Widow used command ::veigar | Player rights = PLAYER	
[4/17/23 04:03PM] Black Widow used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:10PM] Black Widow used command ::afk | Player rights = PLAYER	
