[4/16/23 10:03PM] Zatrax used command ::commands | Player rights = PLAYER	
[4/16/23 10:06PM] Zatrax used command ::vote | Player rights = PLAYER	
[4/16/23 10:07PM] Zatrax used command ::claimvote | Player rights = PLAYER	
[4/16/23 10:08PM] Zatrax used command ::claimvote | Player rights = PLAYER	
[4/16/23 10:08PM] Zatrax used command ::Reward 1 | Player rights = PLAYER	
[4/16/23 10:08PM] Zatrax used command ::reward 1 | Player rights = PLAYER	
[4/16/23 10:11PM] Zatrax used command ::veigar | Player rights = PLAYER	
[4/16/23 10:14PM] Zatrax used command ::Ref fpk merk | Player rights = PLAYER	
[4/16/23 10:38PM] Zatrax used command ::veigar | Player rights = PLAYER	
[4/16/23 10:42PM] Zatrax used command ::ninetails | Player rights = PLAYER	
[4/16/23 11:09PM] Zatrax used command ::veigar | Player rights = PLAYER	
[4/16/23 11:11PM] Zatrax used command ::dr | Player rights = PLAYER	
[4/16/23 11:39PM] Zatrax used command ::veigar | Player rights = PLAYER	
[4/16/23 11:46PM] Zatrax used command ::ninetails | Player rights = PLAYER	
[4/16/23 11:49PM] Zatrax used command ::meruem | Player rights = PLAYER	
[4/16/23 11:58PM] Zatrax used command ::collection | Player rights = PLAYER	
[4/17/23 12:06AM] Zatrax used command ::totem | Player rights = PLAYER	
[4/17/23 12:09AM] Zatrax used command ::veigar | Player rights = PLAYER	
[4/17/23 12:24AM] Zatrax used command ::totem | Player rights = PLAYER	
[4/17/23 12:36AM] Zatrax used command ::collection | Player rights = PLAYER	
[4/17/23 12:39AM] Zatrax used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:39AM] Zatrax used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40AM] Zatrax used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:47AM] Zatrax used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:56AM] Zatrax used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:02AM] Zatrax used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:03AM] Zatrax used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:11AM] Zatrax used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:17AM] Zatrax used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:20AM] Zatrax used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:32AM] Zatrax used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40AM] Zatrax used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40AM] Zatrax used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:41AM] Zatrax used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:44AM] Zatrax used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:50AM] Zatrax used command ::ref | Player rights = GRACEFUL_DONATOR	
