[4/17/23 05:16AM] Snjuu used command ::ref | Player rights = PLAYER	
[4/24/23 07:17AM] Snjuu used command ::starter | Player rights = PLAYER	
[4/24/23 07:17AM] Snjuu used command ::starter | Player rights = PLAYER	
[4/24/23 07:19AM] Snjuu used command ::starter | Player rights = PLAYER	
[4/24/23 07:25AM] Snjuu used command ::upgrade | Player rights = PLAYER	
[4/24/23 07:25AM] Snjuu used command ::forge | Player rights = PLAYER	
[4/24/23 07:27AM] Snjuu used command ::craft | Player rights = PLAYER	
[4/24/23 07:28AM] Snjuu used command ::commands | Player rights = PLAYER	
[4/24/23 07:28AM] Snjuu used command ::noble | Player rights = PLAYER	
[4/24/23 07:30AM] Snjuu used command ::starter | Player rights = PLAYER	
[4/24/23 07:31AM] Snjuu used command ::veigar | Player rights = PLAYER	
[4/24/23 07:31AM] Snjuu used command ::ref | Player rights = PLAYER	
[4/24/23 07:31AM] Snjuu used command ::Ref | Player rights = PLAYER	
[4/24/23 07:33AM] Snjuu used command ::starter | Player rights = PLAYER	
[4/24/23 07:44AM] Snjuu used command ::vote | Player rights = PLAYER	
[4/24/23 07:47AM] Snjuu used command ::reward 1 all | Player rights = PLAYER	
[4/24/23 07:49AM] Snjuu used command ::voteboss | Player rights = PLAYER	
[4/24/23 07:51AM] Snjuu used command ::store | Player rights = PLAYER	
[4/24/23 08:01AM] Snjuu used command ::veigar | Player rights = PLAYER	
[4/24/23 08:12AM] Snjuu used command ::home | Player rights = PLAYER	
[4/24/23 09:18AM] Snjuu used command ::ref | Player rights = PLAYER	
[4/24/23 09:18AM] Snjuu used command ::veigar | Player rights = PLAYER	
[4/24/23 09:19AM] Snjuu used command ::fps | Player rights = PLAYER	
[4/24/23 09:24AM] Snjuu used command ::meruem | Player rights = PLAYER	
[4/24/23 09:26AM] Snjuu used command ::golden | Player rights = PLAYER	
[4/24/23 09:27AM] Snjuu used command ::vboss | Player rights = PLAYER	
[4/24/23 09:29AM] Snjuu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:32AM] Snjuu used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:33AM] Snjuu used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:01AM] Snjuu used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:31AM] Snjuu used command ::veigar | Player rights = GRACEFUL_DONATOR	
