[4/15/23 09:57AM] Mad used command ::claim | Player rights = PLAYER	
[4/15/23 09:58AM] Mad used command ::veigar | Player rights = PLAYER	
[4/15/23 10:00AM] Mad used command ::starter | Player rights = PLAYER	
[4/15/23 10:01AM] Mad used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 10:06AM] Mad used command ::starter | Player rights = PLAYER	
[4/15/23 10:25AM] Mad used command ::store | Player rights = PLAYER	
[4/15/23 10:28AM] Mad used command ::veigar | Player rights = PLAYER	
[4/15/23 10:58AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:06AM] Mad used command ::donorzone | Player rights = CLERIC_DONATOR	
[4/15/23 11:06AM] Mad used command ::dzone | Player rights = CLERIC_DONATOR	
[4/15/23 11:06AM] Mad used command ::donatorzone | Player rights = CLERIC_DONATOR	
[4/15/23 11:06AM] Mad used command ::dz | Player rights = CLERIC_DONATOR	
[4/15/23 11:08AM] Mad used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:08AM] Mad used command ::Bank | Player rights = CLERIC_DONATOR	
[4/15/23 11:17AM] Mad used command ::vote | Player rights = CLERIC_DONATOR	
[4/15/23 11:19AM] Mad used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/15/23 11:19AM] Mad used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/15/23 11:19AM] Mad used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/15/23 11:19AM] Mad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/15/23 11:19AM] Mad used command ::reward1 | Player rights = CLERIC_DONATOR	
[4/15/23 11:19AM] Mad used command ::reward 2 | Player rights = CLERIC_DONATOR	
[4/15/23 11:19AM] Mad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/15/23 11:20AM] Mad used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/15/23 11:20AM] Mad used command ::Reward 0 | Player rights = CLERIC_DONATOR	
[4/15/23 11:20AM] Mad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/15/23 11:21AM] Mad used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 11:28AM] Mad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:29AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:30AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:52AM] Mad used command ::Home | Player rights = CLERIC_DONATOR	
[4/15/23 11:58AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 12:28PM] Mad used command ::upgrade | Player rights = CLERIC_DONATOR	
