[4/19/23 12:46PM] Leo used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:46PM] Leo used command ::vote | Player rights = PLAYER	
[4/19/23 12:46PM] Leo used command ::Starter | Player rights = PLAYER	
[4/19/23 12:50PM] Leo used command ::voted | Player rights = PLAYER	
[4/19/23 12:50PM] Leo used command ::claim | Player rights = PLAYER	
[4/19/23 12:50PM] Leo used command ::voted | Player rights = PLAYER	
[4/19/23 12:50PM] Leo used command ::Reward 1 | Player rights = PLAYER	
[4/19/23 12:50PM] Leo used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 12:51PM] Leo used command ::pos | Player rights = PLAYER	
[4/19/23 12:52PM] Leo used command ::Starter | Player rights = PLAYER	
[4/19/23 12:52PM] Leo used command ::starter | Player rights = PLAYER	
[4/19/23 04:46PM] Leo used command ::starter | Player rights = PLAYER	
[4/19/23 04:47PM] Leo used command ::voteboss | Player rights = PLAYER	
[4/19/23 04:47PM] Leo used command ::starter | Player rights = PLAYER	
[4/19/23 04:48PM] Leo used command ::Starter | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Leo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:49PM] Leo used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:51PM] Leo used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:51PM] Leo used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:55PM] Leo used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:59PM] Leo used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:00PM] Leo used command ::yell anyone got a melee wep for sale? cant use pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:07PM] Leo used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:13PM] Leo used command ::veiar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:13PM] Leo used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:40PM] Leo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:42PM] Leo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:44PM] Leo used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:45PM] Leo used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:52PM] Leo used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:54PM] Leo used command ::dissolve | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:12PM] Leo used command ::yell buying mage weapon pm me :D | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:13PM] Leo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:14PM] Leo used command ::nnetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:14PM] Leo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:15PM] Leo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:05PM] Leo used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:06PM] Leo used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:09PM] Leo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:09PM] Leo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:09PM] Leo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:21PM] Leo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:21PM] Leo used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:21PM] Leo used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:21PM] Leo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:22PM] Leo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:26PM] Leo used command ::raids | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:27PM] Leo used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:49PM] Leo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:19PM] Leo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:21PM] Leo used command ::raids | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:22PM] Leo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:22PM] Leo used command ::meurem | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:22PM] Leo used command ::meurem | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:51PM] Leo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:02PM] Leo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:03PM] Leo used command ::npc 484G-BE2K-Z5WI-DZKV | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:03PM] Leo used command ::npc 484G-BE2K-Z5WI-DZKV | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:18PM] Leo used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:21PM] Leo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:23PM] Leo used command ::meruem | Player rights = GRACEFUL_DONATOR	
