[4/18/23 07:36PM] Double P used command ::rEFER | Player rights = PLAYER	
[4/18/23 07:41PM] Double P used command ::veigar | Player rights = PLAYER	
[4/18/23 07:43PM] Double P used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:44PM] Double P used command ::golden | Player rights = PLAYER	
[4/20/23 11:32PM] Double P used command ::veigar | Player rights = PLAYER	
[4/20/23 11:34PM] Double P used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:35PM] Double P used command ::golden | Player rights = PLAYER	
[4/20/23 11:50PM] Double P used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:12AM] Double P used command ::yell selling $4 and 2 vote scrolls | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:24PM] Double P used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:33PM] Double P used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35PM] Double P used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32PM] Double P used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33PM] Double P used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34PM] Double P used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34PM] Double P used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Double P used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:58PM] Double P used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:02PM] Double P used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:59PM] Double P used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:32AM] Double P used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:33AM] Double P used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:34AM] Double P used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:35AM] Double P used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:37AM] Double P used command ::vboss | Player rights = GRACEFUL_DONATOR	
