[4/16/23 05:26PM] Froggers used command ::donate | Player rights = PLAYER	
[4/16/23 05:27PM] Froggers used command ::train | Player rights = PLAYER	
[4/16/23 05:34PM] Froggers used command ::togglelevelup | Player rights = PLAYER	
[4/16/23 05:36PM] Froggers used command ::vote | Player rights = PLAYER	
[4/16/23 05:36PM] Froggers used command ::claimvote | Player rights = PLAYER	
[4/16/23 05:36PM] Froggers used command ::claimvote | Player rights = PLAYER	
[4/16/23 05:36PM] Froggers used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 05:39PM] Froggers used command ::refer | Player rights = PLAYER	
[4/16/23 05:44PM] Froggers used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:44PM] Froggers used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53PM] Froggers used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:54PM] Froggers used command ::train | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:57PM] Froggers used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:12PM] Froggers used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:22PM] Froggers used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Froggers used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:54PM] Froggers used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 07:23PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:25PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:46PM] Froggers used command ::yell someone buy my stoof :) | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:55PM] Froggers used command ::leave | Player rights = CLERIC_DONATOR	
[4/16/23 07:55PM] Froggers used command ::leaveduo | Player rights = CLERIC_DONATOR	
[4/16/23 07:55PM] Froggers used command ::disband | Player rights = CLERIC_DONATOR	
[4/16/23 07:57PM] Froggers used command ::commands | Player rights = CLERIC_DONATOR	
[4/16/23 07:57PM] Froggers used command ::help | Player rights = CLERIC_DONATOR	
[4/16/23 08:13PM] Froggers used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 08:16PM] Froggers used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:17PM] Froggers used command ::yell smol sale my shop | Player rights = CLERIC_DONATOR	
[4/16/23 08:23PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:24PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] Froggers used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:27PM] Froggers used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Froggers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:53PM] Froggers used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:53PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:55PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:55PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
