[4/18/23 02:00PM] Moralizer used command ::Totem | Player rights = PLAYER	
[4/18/23 02:00PM] Moralizer used command ::Starter | Player rights = PLAYER	
[4/18/23 02:04PM] Moralizer used command ::Totem | Player rights = PLAYER	
[4/18/23 02:05PM] Moralizer used command ::STarter | Player rights = PLAYER	
[4/18/23 02:11PM] Moralizer used command ::Veigar | Player rights = PLAYER	
[4/18/23 02:12PM] Moralizer used command ::STarter | Player rights = PLAYER	
[4/18/23 02:16PM] Moralizer used command ::starter | Player rights = PLAYER	
[4/18/23 02:19PM] Moralizer used command ::Ref fpk erk | Player rights = PLAYER	
[4/18/23 02:19PM] Moralizer used command ::ref fpk merk wr | Player rights = PLAYER	
[4/18/23 02:19PM] Moralizer used command ::ref | Player rights = PLAYER	
[4/18/23 02:19PM] Moralizer used command ::ref wr3ckedyou | Player rights = PLAYER	
[4/18/23 02:19PM] Moralizer used command ::ref wr3ckedyou | Player rights = PLAYER	
[4/18/23 02:20PM] Moralizer used command ::ref fpk erk | Player rights = PLAYER	
[4/18/23 02:20PM] Moralizer used command ::ref | Player rights = PLAYER	
[4/18/23 02:38PM] Moralizer used command ::Starter | Player rights = PLAYER	
[4/18/23 02:41PM] Moralizer used command ::Collections | Player rights = PLAYER	
[4/18/23 02:41PM] Moralizer used command ::Veigar | Player rights = PLAYER	
[4/18/23 03:03PM] Moralizer used command ::killcount | Player rights = PLAYER	
[4/18/23 03:03PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:04PM] Moralizer used command ::klls | Player rights = PLAYER	
[4/18/23 03:04PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:05PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:06PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:15PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:25PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:26PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:27PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:28PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:31PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:31PM] Moralizer used command ::kills | Player rights = PLAYER	
[4/18/23 03:41PM] Moralizer used command ::Veigar | Player rights = PLAYER	
[4/18/23 04:05PM] Moralizer used command ::pos | Player rights = PLAYER	
[4/18/23 04:11PM] Moralizer used command ::veigar | Player rights = PLAYER	
[4/18/23 04:15PM] Moralizer used command ::meruem | Player rights = PLAYER	
[4/18/23 04:41PM] Moralizer used command ::Veigar | Player rights = PLAYER	
[4/18/23 04:41PM] Moralizer used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:42PM] Moralizer used command ::meruem | Player rights = PLAYER	
[4/18/23 04:42PM] Moralizer used command ::golden | Player rights = PLAYER	
[4/18/23 04:55PM] Moralizer used command ::Voteboss | Player rights = PLAYER	
[4/18/23 05:11PM] Moralizer used command ::Veigar | Player rights = PLAYER	
[4/18/23 05:36PM] Moralizer used command ::Golden | Player rights = PLAYER	
[4/18/23 06:14PM] Moralizer used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:16PM] Moralizer used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:18PM] Moralizer used command ::Discrd | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41PM] Moralizer used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:46PM] Moralizer used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:50PM] Moralizer used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:52PM] Moralizer used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:56PM] Moralizer used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:58PM] Moralizer used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:59PM] Moralizer used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:11PM] Moralizer used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:23PM] Moralizer used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:29PM] Moralizer used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:32PM] Moralizer used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:33PM] Moralizer used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41PM] Moralizer used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42PM] Moralizer used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43PM] Moralizer used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Moralizer used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:05AM] Moralizer used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 03:06AM] Moralizer used command ::mereum | Player rights = TORMENTED_DONATOR	
[4/19/23 03:06AM] Moralizer used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 03:08AM] Moralizer used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 03:08AM] Moralizer used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 05:24AM] Moralizer used command ::Pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:27AM] Moralizer used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/19/23 05:32AM] Moralizer used command ::Shops | Player rights = TORMENTED_DONATOR	
[4/19/23 05:32AM] Moralizer used command ::Shops | Player rights = TORMENTED_DONATOR	
[4/19/23 05:32AM] Moralizer used command ::zd | Player rights = TORMENTED_DONATOR	
[4/19/23 05:32AM] Moralizer used command ::Dz | Player rights = TORMENTED_DONATOR	
[4/19/23 05:33AM] Moralizer used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 05:34AM] Moralizer used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/19/23 05:36AM] Moralizer used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:38AM] Moralizer used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:42AM] Moralizer used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:56AM] Moralizer used command ::DR | Player rights = PLAYER	
[4/19/23 06:56AM] Moralizer used command ::Dr | Player rights = PLAYER	
[4/19/23 07:12AM] Moralizer used command ::pos | Player rights = PLAYER	
[4/19/23 07:21AM] Moralizer used command ::Voteboss | Player rights = PLAYER	
[4/20/23 02:49AM] Moralizer used command ::Veigar | Player rights = PLAYER	
[4/20/23 02:56AM] Moralizer used command ::bank | Player rights = PLAYER	
