[4/17/23 11:18AM] Hope used command ::ref FPK MERK | Player rights = PLAYER	
[4/17/23 11:31AM] Hope used command ::prayer | Player rights = PLAYER	
[4/17/23 11:33AM] Hope used command ::veigar | Player rights = PLAYER	
[4/17/23 11:33AM] Hope used command ::merk | Player rights = PLAYER	
[4/17/23 11:33AM] Hope used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:46AM] Hope used command ::trade | Player rights = PLAYER	
[4/17/23 11:46AM] Hope used command ::trade | Player rights = PLAYER	
[4/17/23 11:52AM] Hope used command ::meruem | Player rights = PLAYER	
[4/17/23 11:53AM] Hope used command ::vboss | Player rights = PLAYER	
[4/17/23 11:53AM] Hope used command ::vote | Player rights = PLAYER	
[4/17/23 11:54AM] Hope used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] Hope used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] Hope used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 11:56AM] Hope used command ::vboss | Player rights = PLAYER	
[4/17/23 11:58AM] Hope used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Hope used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Hope used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Hope used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Hope used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:12PM] Hope used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Hope used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] Hope used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Hope used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Hope used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Hope used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Hope used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Hope used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:28PM] Hope used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:28PM] Hope used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:28PM] Hope used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Hope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Hope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Hope used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Hope used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Hope used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:45PM] Hope used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 12:41AM] Hope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Hope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Hope used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:44AM] Hope used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 12:44AM] Hope used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Hope used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 12:48AM] Hope used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 12:49AM] Hope used command ::store | Player rights = CLERIC_DONATOR	
[4/18/23 12:50AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 12:51AM] Hope used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:51AM] Hope used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:52AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 12:56AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 01:03AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 01:04AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 01:05AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 01:24AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 01:30AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 01:31AM] Hope used command ::homw | Player rights = CLERIC_DONATOR	
[4/18/23 01:31AM] Hope used command ::hom' | Player rights = CLERIC_DONATOR	
[4/18/23 01:31AM] Hope used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:35AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 01:37AM] Hope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:38AM] Hope used command ::slayer | Player rights = CLERIC_DONATOR	
[4/18/23 01:40AM] Hope used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Hope used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Hope used command ::golden | Player rights = CLERIC_DONATOR	
