[4/16/23 02:38AM] Arab used command ::Zone | Player rights = PLAYER	
[4/16/23 02:38AM] Arab used command ::starter | Player rights = PLAYER	
[4/16/23 02:40AM] Arab used command ::tasks | Player rights = PLAYER	
[4/16/23 02:40AM] Arab used command ::dropoff | Player rights = PLAYER	
[4/16/23 02:42AM] Arab used command ::maxhit | Player rights = PLAYER	
[4/16/23 02:43AM] Arab used command ::ref | Player rights = PLAYER	
[4/16/23 02:53AM] Arab used command ::veigar | Player rights = PLAYER	
[4/16/23 03:23AM] Arab used command ::veigar | Player rights = PLAYER	
[4/16/23 03:25AM] Arab used command ::ninetails | Player rights = PLAYER	
[4/16/23 03:26AM] Arab used command ::meruem | Player rights = PLAYER	
[4/16/23 03:28AM] Arab used command ::golden | Player rights = PLAYER	
[4/16/23 03:29AM] Arab used command ::voteboss | Player rights = PLAYER	
[4/16/23 03:29AM] Arab used command ::maxhit | Player rights = PLAYER	
[4/16/23 03:30AM] Arab used command ::yell all to voteboss | Player rights = PLAYER	
[4/16/23 04:29AM] Arab used command ::commands | Player rights = PLAYER	
[4/16/23 04:46AM] Arab used command ::Veigar | Player rights = PLAYER	
[4/16/23 04:47AM] Arab used command ::ninetails | Player rights = PLAYER	
[4/16/23 04:48AM] Arab used command ::meruem | Player rights = PLAYER	
[4/16/23 04:48AM] Arab used command ::golden | Player rights = PLAYER	
[4/16/23 04:52AM] Arab used command ::pos | Player rights = PLAYER	
[4/16/23 04:53AM] Arab used command ::veigar | Player rights = PLAYER	
[4/16/23 04:57AM] Arab used command ::staff | Player rights = PLAYER	
[4/16/23 05:01AM] Arab used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:06AM] Arab used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:10AM] Arab used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:10AM] Arab used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:20AM] Arab used command ::yell buy all vote scrolls 20kea | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:21AM] Arab used command ::yell buy all votes 20kea | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:22AM] Arab used command ::yell buy all votes 20kea | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23AM] Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25AM] Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:26AM] Arab used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:28AM] Arab used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:29AM] Arab used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:29AM] Arab used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:32AM] Arab used command ::yell buy all votes | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:34AM] Arab used command ::Yell sell infinite prayer potion my pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:34AM] Arab used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:35AM] Arab used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:39AM] Arab used command ::yell buy all votes | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53AM] Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:02AM] Arab used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:06AM] Arab used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:06AM] Arab used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:27AM] Arab used command ::yell selling vote scrolls my pos! | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:27AM] Arab used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:28AM] Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:28AM] Arab used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:30AM] Arab used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:37AM] Arab used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:37AM] Arab used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Arab used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:40AM] Arab used command ::hideplayers | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41AM] Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43AM] Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Arab used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Arab used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Arab used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Arab used command ::meryem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Arab used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:54AM] Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:57AM] Arab used command ::yell sell 50 vote scrolls!!! | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:59AM] Arab used command ::yell sell vote scrolls!!! | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:01AM] Arab used command ::yell selling vote scrolls | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:08AM] Arab used command ::yell my pos good sale!! | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:09AM] Arab used command ::yell my pos good sale!! | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:15AM] Arab used command ::yell check my pos huge sale $ | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:17AM] Arab used command ::Yell check my pos bonds and votes in sale$$$$ | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:20AM] Arab used command ::yell check my pos bonds and vote scrolls for sale $$$$$ | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] Arab used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:25AM] Arab used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:35PM] Arab used command ::yell buy good weapon pm me | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:36PM] Arab used command ::yell buy good weapon | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:43PM] Arab used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:44PM] Arab used command ::yell buy good weapon pm me | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:45PM] Arab used command ::rewardd | Player rights = GRACEFUL_DONATOR	
