[4/18/23 06:41PM] Shore used command ::veigar | Player rights = PLAYER	
[4/18/23 06:43PM] Shore used command ::refer | Player rights = PLAYER	
[4/18/23 06:43PM] Shore used command ::starter | Player rights = PLAYER	
[4/18/23 06:46PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 06:50PM] Shore used command ::Starter | Player rights = PLAYER	
[4/18/23 06:53PM] Shore used command ::starter | Player rights = PLAYER	
[4/18/23 06:56PM] Shore used command ::bank | Player rights = PLAYER	
[4/18/23 06:56PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 06:56PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 06:59PM] Shore used command ::voteboss | Player rights = PLAYER	
[4/18/23 07:02PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 07:03PM] Shore used command ::starter | Player rights = PLAYER	
[4/18/23 07:07PM] Shore used command ::starter | Player rights = PLAYER	
[4/18/23 07:09PM] Shore used command ::starter | Player rights = PLAYER	
[4/18/23 07:11PM] Shore used command ::veigar | Player rights = PLAYER	
[4/18/23 07:13PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 07:15PM] Shore used command ::starter | Player rights = PLAYER	
[4/18/23 07:16PM] Shore used command ::starter | Player rights = PLAYER	
[4/18/23 07:31PM] Shore used command ::pos | Player rights = PLAYER	
[4/18/23 07:31PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 07:41PM] Shore used command ::veigar | Player rights = PLAYER	
[4/18/23 07:43PM] Shore used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:44PM] Shore used command ::veigar | Player rights = PLAYER	
[4/18/23 07:44PM] Shore used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:44PM] Shore used command ::goldenm | Player rights = PLAYER	
[4/18/23 07:44PM] Shore used command ::golden | Player rights = PLAYER	
[4/18/23 07:46PM] Shore used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:46PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 07:48PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 08:05PM] Shore used command ::altar | Player rights = PLAYER	
[4/18/23 08:05PM] Shore used command ::home | Player rights = PLAYER	
[4/18/23 08:12PM] Shore used command ::Afk | Player rights = PLAYER	
[4/18/23 08:12PM] Shore used command ::home | Player rights = PLAYER	
[4/19/23 05:32AM] Shore used command ::pos | Player rights = PLAYER	
[4/19/23 05:32AM] Shore used command ::bank | Player rights = PLAYER	
[4/19/23 05:32AM] Shore used command ::bank | Player rights = PLAYER	
