[4/18/23 12:25PM] Hc Pvm used command ::refer | Player rights = PLAYER	
[4/18/23 12:29PM] Hc Pvm used command ::starter | Player rights = PLAYER	
[4/18/23 12:29PM] Hc Pvm used command ::starter | Player rights = PLAYER	
[4/18/23 12:41PM] Hc Pvm used command ::veigar | Player rights = PLAYER	
[4/18/23 12:42PM] Hc Pvm used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:42PM] Hc Pvm used command ::meruem | Player rights = PLAYER	
[4/18/23 12:43PM] Hc Pvm used command ::golden | Player rights = PLAYER	
[4/18/23 12:49PM] Hc Pvm used command ::starter | Player rights = PLAYER	
[4/18/23 12:50PM] Hc Pvm used command ::vote | Player rights = PLAYER	
[4/18/23 12:57PM] Hc Pvm used command ::voted | Player rights = PLAYER	
[4/18/23 12:57PM] Hc Pvm used command ::reward 1 | Player rights = PLAYER	
[4/18/23 01:11PM] Hc Pvm used command ::veigar | Player rights = PLAYER	
[4/18/23 01:40PM] Hc Pvm used command ::veigar | Player rights = PLAYER	
[4/18/23 01:41PM] Hc Pvm used command ::nintails | Player rights = PLAYER	
[4/18/23 01:41PM] Hc Pvm used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:41PM] Hc Pvm used command ::veigar | Player rights = PLAYER	
[4/18/23 01:41PM] Hc Pvm used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42PM] Hc Pvm used command ::golden | Player rights = PLAYER	
[4/18/23 01:52PM] Hc Pvm used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:05PM] Hc Pvm used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:05PM] Hc Pvm used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:36PM] Hc Pvm used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Hc Pvm used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42PM] Hc Pvm used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:48PM] Hc Pvm used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:49PM] Hc Pvm used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:49PM] Hc Pvm used command ::::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:49PM] Hc Pvm used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:50PM] Hc Pvm used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:11PM] Hc Pvm used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:37PM] Hc Pvm used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41PM] Hc Pvm used command ::veigar] | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41PM] Hc Pvm used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:42PM] Hc Pvm used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11PM] Hc Pvm used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Hc Pvm used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:16PM] Hc Pvm used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Hc Pvm used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Hc Pvm used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Hc Pvm used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Hc Pvm used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:52PM] Hc Pvm used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:11PM] Hc Pvm used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:29PM] Hc Pvm used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:32PM] Hc Pvm used command ::mereum | Player rights = CLERIC_DONATOR	
[4/18/23 05:33PM] Hc Pvm used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Hc Pvm used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Hc Pvm used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Hc Pvm used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:11PM] Hc Pvm used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:13PM] Hc Pvm used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 06:30PM] Hc Pvm used command ::cleric | Player rights = CLERIC_DONATOR	
[4/18/23 07:41PM] Hc Pvm used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:43PM] Hc Pvm used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:44PM] Hc Pvm used command ::golden | Player rights = CLERIC_DONATOR	
