[4/20/23 09:49AM] Xio used command ::veigar | Player rights = PLAYER	
[4/20/23 09:54AM] Xio used command ::refer | Player rights = PLAYER	
[4/20/23 09:54AM] Xio used command ::bank | Player rights = PLAYER	
[4/20/23 09:54AM] Xio used command ::vote | Player rights = PLAYER	
[4/20/23 09:55AM] Xio used command ::train | Player rights = PLAYER	
[4/20/23 09:57AM] Xio used command ::claimvote | Player rights = PLAYER	
[4/20/23 09:57AM] Xio used command ::reward 1 1 | Player rights = PLAYER	
[4/20/23 09:57AM] Xio used command ::reward 1 1 | Player rights = PLAYER	
[4/20/23 09:57AM] Xio used command ::reward 1 1 | Player rights = PLAYER	
[4/20/23 09:57AM] Xio used command ::reward 1 1 | Player rights = PLAYER	
[4/20/23 10:02AM] Xio used command ::train | Player rights = PLAYER	
[4/20/23 10:06AM] Xio used command ::home | Player rights = PLAYER	
[4/20/23 10:09AM] Xio used command ::pos | Player rights = PLAYER	
[4/20/23 10:13AM] Xio used command ::train | Player rights = PLAYER	
[4/20/23 10:15AM] Xio used command ::train | Player rights = PLAYER	
[4/20/23 10:18AM] Xio used command ::home | Player rights = PLAYER	
[4/20/23 10:19AM] Xio used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:20AM] Xio used command ::veigar | Player rights = PLAYER	
[4/20/23 10:27AM] Xio used command ::nine | Player rights = PLAYER	
[4/20/23 10:28AM] Xio used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:28AM] Xio used command ::meruem | Player rights = PLAYER	
[4/20/23 10:30AM] Xio used command ::golden | Player rights = PLAYER	
[4/20/23 10:30AM] Xio used command ::golden | Player rights = PLAYER	
[4/20/23 10:34AM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:38AM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:42AM] Xio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Xio used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Xio used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:48AM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49AM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:51AM] Xio used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:53AM] Xio used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:54AM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:56AM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:59AM] Xio used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:01AM] Xio used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:03AM] Xio used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:07AM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:49AM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:51AM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:05PM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:19PM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:19PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:20PM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:20PM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21PM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21PM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:22PM] Xio used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:22PM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:40PM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:49PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:11PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:15PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:15PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:19PM] Xio used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:19PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:20PM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:21PM] Xio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:28PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:30PM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:56PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:02PM] Xio used command ::Shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:02PM] Xio used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:07PM] Xio used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:07PM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:19PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:21PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:33PM] Xio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:36PM] Xio used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Xio used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:49PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:03PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:07PM] Xio used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:07PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:07PM] Xio used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:07PM] Xio used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:10PM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:16PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:19PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:20PM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:21PM] Xio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:43PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:49PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:13PM] Xio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:19PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:20PM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21PM] Xio used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:30PM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:39PM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:41PM] Xio used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:19PM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:20PM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:22PM] Xio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:30AM] Xio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:30AM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:31AM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Xio used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33AM] Xio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34AM] Xio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34AM] Xio used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35AM] Xio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:36AM] Xio used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:36AM] Xio used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:37AM] Xio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:39AM] Xio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:40AM] Xio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:54AM] Xio used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:57AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:01AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:02AM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:05AM] Xio used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:24AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:26AM] Xio used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:32AM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Xio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:03AM] Xio used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:30AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Xio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:35AM] Xio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:35AM] Xio used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 10:37AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 10:39AM] Xio used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 10:41AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 10:47AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
