[4/16/23 08:30PM] Trevlf used command ::ref FPK Merk | Player rights = PLAYER	
[4/16/23 08:32PM] Trevlf used command ::bank | Player rights = PLAYER	
[4/16/23 08:33PM] Trevlf used command ::bank | Player rights = PLAYER	
[4/16/23 08:33PM] Trevlf used command ::collectors | Player rights = PLAYER	
[4/16/23 08:33PM] Trevlf used command ::freedonator | Player rights = PLAYER	
[4/16/23 08:33PM] Trevlf used command ::sp | Player rights = PLAYER	
[4/16/23 08:35PM] Trevlf used command ::train | Player rights = PLAYER	
[4/16/23 08:38PM] Trevlf used command ::vote | Player rights = PLAYER	
[4/16/23 08:39PM] Trevlf used command ::collection | Player rights = PLAYER	
[4/16/23 08:39PM] Trevlf used command ::reward 1 | Player rights = PLAYER	
[4/16/23 08:39PM] Trevlf used command ::reward all | Player rights = PLAYER	
[4/16/23 08:39PM] Trevlf used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 08:41PM] Trevlf used command ::train | Player rights = PLAYER	
[4/16/23 08:43PM] Trevlf used command ::home | Player rights = PLAYER	
[4/16/23 08:43PM] Trevlf used command ::collection | Player rights = PLAYER	
[4/16/23 08:52PM] Trevlf used command ::store | Player rights = PLAYER	
[4/16/23 08:55PM] Trevlf used command ::global | Player rights = PLAYER	
[4/16/23 08:55PM] Trevlf used command ::mereum | Player rights = PLAYER	
[4/16/23 08:55PM] Trevlf used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:55PM] Trevlf used command ::global | Player rights = PLAYER	
[4/16/23 08:56PM] Trevlf used command ::golden | Player rights = PLAYER	
[4/16/23 08:57PM] Trevlf used command ::vboss | Player rights = PLAYER	
[4/16/23 08:57PM] Trevlf used command ::vboss | Player rights = PLAYER	
[4/16/23 09:00PM] Trevlf used command ::claim | Player rights = PLAYER	
[4/16/23 09:00PM] Trevlf used command ::claim | Player rights = PLAYER	
[4/17/23 02:23PM] Trevlf used command ::zones | Player rights = PLAYER	
[4/17/23 02:23PM] Trevlf used command ::progressions | Player rights = PLAYER	
[4/17/23 02:23PM] Trevlf used command ::progression | Player rights = PLAYER	
[4/18/23 03:39PM] Trevlf used command ::pos | Player rights = PLAYER	
[4/18/23 03:41PM] Trevlf used command ::vveigar | Player rights = PLAYER	
[4/18/23 03:41PM] Trevlf used command ::ninetails | Player rights = PLAYER	
[4/18/23 03:42PM] Trevlf used command ::home | Player rights = PLAYER	
[4/18/23 03:42PM] Trevlf used command ::pos | Player rights = PLAYER	
[4/18/23 03:42PM] Trevlf used command ::home | Player rights = PLAYER	
[4/18/23 03:42PM] Trevlf used command ::pos | Player rights = PLAYER	
[4/18/23 03:48PM] Trevlf used command ::home | Player rights = PLAYER	
[4/18/23 04:15PM] Trevlf used command ::voteboss | Player rights = PLAYER	
[4/18/23 04:15PM] Trevlf used command ::mereum | Player rights = PLAYER	
[4/18/23 04:16PM] Trevlf used command ::mereum | Player rights = PLAYER	
