[4/15/23 10:33AM] Dogdonny used command ::refer walkchaos | Player rights = PLAYER	
[4/15/23 10:33AM] Dogdonny used command ::train | Player rights = PLAYER	
[4/15/23 10:54AM] Dogdonny used command ::home | Player rights = PLAYER	
[4/15/23 10:59AM] Dogdonny used command ::veigar | Player rights = PLAYER	
[4/15/23 11:29AM] Dogdonny used command ::veigar | Player rights = PLAYER	
[4/15/23 11:29AM] Dogdonny used command ::ninetails | Player rights = PLAYER	
[4/15/23 01:29PM] Dogdonny used command ::veigart | Player rights = PLAYER	
[4/15/23 01:29PM] Dogdonny used command ::veigar | Player rights = PLAYER	
[4/15/23 01:29PM] Dogdonny used command ::ninetails | Player rights = PLAYER	
[4/15/23 01:38PM] Dogdonny used command ::totem | Player rights = PLAYER	
[4/15/23 01:59PM] Dogdonny used command ::veigar | Player rights = PLAYER	
[4/15/23 02:00PM] Dogdonny used command ::voteboss | Player rights = PLAYER	
[4/15/23 02:01PM] Dogdonny used command ::vote | Player rights = PLAYER	
[4/15/23 02:21PM] Dogdonny used command ::voted | Player rights = PLAYER	
[4/15/23 02:22PM] Dogdonny used command ::reward 1 2 | Player rights = PLAYER	
[4/15/23 02:27PM] Dogdonny used command ::totem | Player rights = PLAYER	
[4/15/23 02:28PM] Dogdonny used command ::veigar | Player rights = PLAYER	
[4/15/23 02:29PM] Dogdonny used command ::ninetails | Player rights = PLAYER	
[4/15/23 02:29PM] Dogdonny used command ::meruem | Player rights = PLAYER	
[4/15/23 02:34PM] Dogdonny used command ::bank | Player rights = PLAYER	
[4/15/23 02:58PM] Dogdonny used command ::veigar | Player rights = PLAYER	
[4/15/23 03:26PM] Dogdonny used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:29PM] Dogdonny used command ::veigar | Player rights = PLAYER	
[4/15/23 03:33PM] Dogdonny used command ::golden | Player rights = PLAYER	
[4/15/23 03:43PM] Dogdonny used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:06PM] Dogdonny used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:31PM] Dogdonny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:33PM] Dogdonny used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:34PM] Dogdonny used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:35PM] Dogdonny used command ::ape | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:58PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:16PM] Dogdonny used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:30PM] Dogdonny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:59PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:28PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] Dogdonny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] Dogdonny used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Dogdonny used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Dogdonny used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:54PM] Dogdonny used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:58PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:49PM] Dogdonny used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:51PM] Dogdonny used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52PM] Dogdonny used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:58PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:21PM] Dogdonny used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] Dogdonny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] Dogdonny used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12PM] Dogdonny used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:14PM] Dogdonny used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Dogdonny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Dogdonny used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:42PM] Dogdonny used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Dogdonny used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Dogdonny used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Dogdonny used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Dogdonny used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Dogdonny used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:44AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:47AM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 04:53AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:26AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:29AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:29AM] Dogdonny used command ::Golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:52AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:55AM] Dogdonny used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 06:18AM] Dogdonny used command ::donated | Player rights = CLERIC_DONATOR	
[4/16/23 06:18AM] Dogdonny used command ::commands | Player rights = CLERIC_DONATOR	
[4/16/23 06:18AM] Dogdonny used command ::donated | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:32AM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 06:53AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:55AM] Dogdonny used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 07:19AM] Dogdonny used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 07:20AM] Dogdonny used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:25AM] Dogdonny used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:38AM] Dogdonny used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:44AM] Dogdonny used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 07:53AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:24AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:24AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:33AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:34AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:09AM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:46AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 12:40PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:52PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:37PM] Dogdonny used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 03:04PM] Dogdonny used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 09:47PM] Dogdonny used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 10:09PM] Dogdonny used command :: | Player rights = CLERIC_DONATOR	
[4/16/23 10:09PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:41AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:48AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:55AM] Dogdonny used command ::veigat | Player rights = CLERIC_DONATOR	
[4/17/23 12:55AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:02AM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:39AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 03:39AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:41AM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:42AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 03:43AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:40AM] Dogdonny used command ::YELL !!! | Player rights = CLERIC_DONATOR	
[4/17/23 11:42AM] Dogdonny used command ::fpk | Player rights = CLERIC_DONATOR	
[4/17/23 11:45AM] Dogdonny used command ::trade | Player rights = CLERIC_DONATOR	
[4/17/23 11:45AM] Dogdonny used command ::Train | Player rights = CLERIC_DONATOR	
[4/17/23 11:45AM] Dogdonny used command ::train | Player rights = CLERIC_DONATOR	
[4/17/23 11:46AM] Dogdonny used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:47AM] Dogdonny used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:58AM] Dogdonny used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 11:58AM] Dogdonny used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 12:00PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:00PM] Dogdonny used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:00PM] Dogdonny used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Dogdonny used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:12PM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
