[4/21/23 03:23PM] Aj used command ::reward 1 | Player rights = PLAYER	
[4/21/23 03:23PM] Aj used command ::bank | Player rights = PLAYER	
[4/21/23 03:24PM] Aj used command ::vote | Player rights = PLAYER	
[4/21/23 03:26PM] Aj used command ::reward1 | Player rights = PLAYER	
[4/21/23 03:26PM] Aj used command ::reward 1 | Player rights = PLAYER	
[4/21/23 03:27PM] Aj used command ::reward 1 | Player rights = PLAYER	
[4/21/23 03:30PM] Aj used command ::ref fps merk | Player rights = PLAYER	
[4/21/23 03:30PM] Aj used command ::ref | Player rights = PLAYER	
[4/21/23 03:32PM] Aj used command ::veigar | Player rights = PLAYER	
[4/21/23 03:33PM] Aj used command ::ninetails | Player rights = PLAYER	
[4/21/23 03:41PM] Aj used command ::noble | Player rights = PLAYER	
[4/21/23 03:52PM] Aj used command ::totem | Player rights = PLAYER	
[4/21/23 04:02PM] Aj used command ::Veigar | Player rights = PLAYER	
[4/21/23 04:04PM] Aj used command ::raids | Player rights = PLAYER	
[4/21/23 04:04PM] Aj used command ::raid | Player rights = PLAYER	
