[4/16/23 05:05PM] Slayerfly used command ::ref | Player rights = PLAYER	
[4/16/23 05:06PM] Slayerfly used command ::train | Player rights = PLAYER	
[4/16/23 05:08PM] Slayerfly used command ::bank | Player rights = PLAYER	
[4/16/23 05:08PM] Slayerfly used command ::bank | Player rights = PLAYER	
[4/16/23 05:20PM] Slayerfly used command ::train | Player rights = PLAYER	
[4/16/23 05:23PM] Slayerfly used command ::veigar | Player rights = PLAYER	
[4/16/23 05:24PM] Slayerfly used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:24PM] Slayerfly used command ::veigar | Player rights = PLAYER	
[4/16/23 05:24PM] Slayerfly used command ::muruem | Player rights = PLAYER	
[4/16/23 05:24PM] Slayerfly used command ::meruem | Player rights = PLAYER	
[4/16/23 05:25PM] Slayerfly used command ::golden | Player rights = PLAYER	
[4/16/23 05:26PM] Slayerfly used command ::train | Player rights = PLAYER	
[4/16/23 05:27PM] Slayerfly used command ::home | Player rights = PLAYER	
[4/16/23 05:30PM] Slayerfly used command ::donate | Player rights = PLAYER	
[4/16/23 05:33PM] Slayerfly used command ::claim | Player rights = PLAYER	
[4/16/23 05:33PM] Slayerfly used command ::claim | Player rights = PLAYER	
[4/16/23 05:34PM] Slayerfly used command ::staff | Player rights = PLAYER	
[4/16/23 05:34PM] Slayerfly used command ::claim | Player rights = PLAYER	
[4/16/23 05:34PM] Slayerfly used command ::server | Player rights = PLAYER	
[4/16/23 05:34PM] Slayerfly used command ::claim | Player rights = PLAYER	
[4/16/23 05:34PM] Slayerfly used command ::help | Player rights = PLAYER	
[4/16/23 05:36PM] Slayerfly used command ::claim | Player rights = PLAYER	
[4/16/23 05:39PM] Slayerfly used command ::claim | Player rights = PLAYER	
[4/16/23 05:52PM] Slayerfly used command ::claim | Player rights = PLAYER	
[4/17/23 05:32AM] Slayerfly used command ::claim | Player rights = PLAYER	
[4/17/23 05:39AM] Slayerfly used command ::veigar | Player rights = PLAYER	
[4/17/23 05:41AM] Slayerfly used command ::ninetail | Player rights = PLAYER	
[4/17/23 05:41AM] Slayerfly used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:42AM] Slayerfly used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Slayerfly used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:43AM] Slayerfly used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:43AM] Slayerfly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:44AM] Slayerfly used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:44AM] Slayerfly used command ::reward | Player rights = GRACEFUL_DONATOR	
