[4/19/23 05:25PM] Dragonking used command ::starter | Player rights = PLAYER	
[4/19/23 05:26PM] Dragonking used command ::pos | Player rights = PLAYER	
[4/19/23 05:27PM] Dragonking used command ::vote | Player rights = PLAYER	
[4/19/23 05:30PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/19/23 05:30PM] Dragonking used command ::reward 2 | Player rights = PLAYER	
[4/19/23 05:30PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/19/23 05:30PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/19/23 05:37PM] Dragonking used command ::home | Player rights = PLAYER	
[4/19/23 05:38PM] Dragonking used command ::starter | Player rights = PLAYER	
[4/19/23 05:41PM] Dragonking used command ::ref fpk merk | Player rights = PLAYER	
[4/19/23 05:42PM] Dragonking used command ::home | Player rights = PLAYER	
[4/19/23 05:43PM] Dragonking used command ::veigar | Player rights = PLAYER	
[4/19/23 05:45PM] Dragonking used command ::home | Player rights = PLAYER	
[4/19/23 05:48PM] Dragonking used command ::starter | Player rights = PLAYER	
[4/19/23 05:58PM] Dragonking used command ::home | Player rights = PLAYER	
[4/19/23 06:11PM] Dragonking used command ::home | Player rights = PLAYER	
[4/19/23 06:11PM] Dragonking used command ::pos | Player rights = PLAYER	
[4/19/23 06:11PM] Dragonking used command ::pos | Player rights = PLAYER	
[4/19/23 06:11PM] Dragonking used command ::pos | Player rights = PLAYER	
[4/19/23 07:29PM] Dragonking used command ::slayer | Player rights = PLAYER	
[4/20/23 07:50PM] Dragonking used command ::vote | Player rights = PLAYER	
[4/20/23 07:51PM] Dragonking used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:51PM] Dragonking used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:51PM] Dragonking used command ::redeem 1 | Player rights = PLAYER	
[4/20/23 07:51PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/20/23 07:51PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/20/23 07:51PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/20/23 07:51PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/20/23 07:52PM] Dragonking used command ::bank | Player rights = PLAYER	
[4/20/23 07:52PM] Dragonking used command ::home | Player rights = PLAYER	
[4/20/23 08:06PM] Dragonking used command ::slayer | Player rights = PLAYER	
[4/20/23 08:19PM] Dragonking used command ::veigar | Player rights = PLAYER	
[4/20/23 08:20PM] Dragonking used command ::golden | Player rights = PLAYER	
[4/20/23 08:20PM] Dragonking used command ::veigar | Player rights = PLAYER	
[4/20/23 08:24PM] Dragonking used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:32PM] Dragonking used command ::veigar | Player rights = PLAYER	
[4/20/23 08:34PM] Dragonking used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:35PM] Dragonking used command ::veigar | Player rights = PLAYER	
[4/20/23 08:35PM] Dragonking used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:36PM] Dragonking used command ::::ninetails | Player rights = PLAYER	
[4/20/23 08:36PM] Dragonking used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:38PM] Dragonking used command ::golden | Player rights = PLAYER	
[4/20/23 08:40PM] Dragonking used command ::slayer | Player rights = PLAYER	
[4/20/23 08:42PM] Dragonking used command ::slayer | Player rights = PLAYER	
[4/20/23 08:44PM] Dragonking used command ::golden | Player rights = PLAYER	
[4/20/23 08:45PM] Dragonking used command ::home | Player rights = PLAYER	
[4/20/23 08:48PM] Dragonking used command ::slayer | Player rights = PLAYER	
[4/20/23 08:49PM] Dragonking used command ::home | Player rights = PLAYER	
[4/21/23 01:32PM] Dragonking used command ::vote | Player rights = PLAYER	
[4/21/23 01:32PM] Dragonking used command ::veigar | Player rights = PLAYER	
[4/21/23 01:33PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/21/23 01:33PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/21/23 01:33PM] Dragonking used command ::reward 1 | Player rights = PLAYER	
[4/21/23 01:34PM] Dragonking used command ::ninetails | Player rights = PLAYER	
[4/21/23 01:35PM] Dragonking used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:54PM] Dragonking used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:57PM] Dragonking used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:01PM] Dragonking used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02PM] Dragonking used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02PM] Dragonking used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02PM] Dragonking used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:17PM] Dragonking used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:03PM] Dragonking used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:04PM] Dragonking used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:41PM] Dragonking used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:42PM] Dragonking used command ::reward 1all | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:42PM] Dragonking used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:44PM] Dragonking used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:51PM] Dragonking used command ::home | Player rights = GRACEFUL_DONATOR	
