[4/19/23 01:51PM] Smurfit used command ::train | Player rights = PLAYER	
[4/19/23 01:56PM] Smurfit used command ::ref fpk merk | Player rights = PLAYER	
[4/19/23 02:12PM] Smurfit used command ::train | Player rights = PLAYER	
[4/19/23 02:13PM] Smurfit used command ::veigar | Player rights = PLAYER	
[4/19/23 02:15PM] Smurfit used command ::train | Player rights = PLAYER	
[4/19/23 02:20PM] Smurfit used command ::train | Player rights = PLAYER	
[4/19/23 02:21PM] Smurfit used command ::vote | Player rights = PLAYER	
[4/19/23 02:30PM] Smurfit used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:30PM] Smurfit used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:30PM] Smurfit used command ::reward 1 | Player rights = PLAYER	
[4/19/23 02:36PM] Smurfit used command ::shops | Player rights = PLAYER	
[4/19/23 02:36PM] Smurfit used command ::shops | Player rights = PLAYER	
[4/19/23 02:43PM] Smurfit used command ::veigar | Player rights = PLAYER	
[4/19/23 02:56PM] Smurfit used command ::noble | Player rights = PLAYER	
[4/19/23 03:03PM] Smurfit used command ::store | Player rights = PLAYER	
[4/19/23 03:05PM] Smurfit used command ::points | Player rights = PLAYER	
[4/19/23 03:14PM] Smurfit used command ::veigar | Player rights = PLAYER	
[4/19/23 03:15PM] Smurfit used command ::ninetails | Player rights = PLAYER	
[4/19/23 03:16PM] Smurfit used command ::meruem | Player rights = PLAYER	
[4/19/23 03:17PM] Smurfit used command ::golden | Player rights = PLAYER	
[4/19/23 03:17PM] Smurfit used command ::golden | Player rights = PLAYER	
[4/19/23 03:18PM] Smurfit used command ::golden | Player rights = PLAYER	
[4/19/23 04:03PM] Smurfit used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:04PM] Smurfit used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:07PM] Smurfit used command ::yell buy collector at home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:13PM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:15PM] Smurfit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:22PM] Smurfit used command ::yell buy coll neck 35m | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:28PM] Smurfit used command ::yell buy collector 40m | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:43PM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:46PM] Smurfit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:58PM] Smurfit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:59PM] Smurfit used command ::skilling | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:02PM] Smurfit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:47AM] Smurfit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:19AM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:21AM] Smurfit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:23AM] Smurfit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49AM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:19AM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:21AM] Smurfit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:49AM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:51AM] Smurfit used command ::store | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:58AM] Smurfit used command :::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:58AM] Smurfit used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:01AM] Smurfit used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:10AM] Smurfit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:49AM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:00AM] Smurfit used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:49AM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:19AM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Smurfit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:28AM] Smurfit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:28AM] Smurfit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Smurfit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:33AM] Smurfit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:33AM] Smurfit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:34AM] Smurfit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:39AM] Smurfit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:43AM] Smurfit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Smurfit used command ::olden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Smurfit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:47AM] Smurfit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49AM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:50AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:50AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:50AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Smurfit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:58AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:02AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:04PM] Smurfit used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:22PM] Smurfit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:34PM] Smurfit used command ::oteboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:01PM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 12:07AM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 12:18AM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 12:22AM] Smurfit used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:32AM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34AM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:36AM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:43AM] Smurfit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 12:43AM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 02:34AM] Smurfit used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/21/23 02:35AM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:37AM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:39AM] Smurfit used command ::goden | Player rights = CLERIC_DONATOR	
[4/21/23 02:39AM] Smurfit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 04:05AM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 09:55AM] Smurfit used command ::store | Player rights = CLERIC_DONATOR	
[4/21/23 09:57AM] Smurfit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 10:23AM] Smurfit used command ::yell whats worth getting from donor shop (ingame) | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 11:33AM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:34AM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Smurfit used command ::olden | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Smurfit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:53AM] Smurfit used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 01:49AM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 04:49AM] Smurfit used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 04:52AM] Smurfit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 05:05AM] Smurfit used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:32AM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:34AM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:35AM] Smurfit used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Smurfit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 05:55AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 05:55AM] Smurfit used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 07:15AM] Smurfit used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:12AM] Smurfit used command ::afkzone | Player rights = CLERIC_DONATOR	
[4/22/23 08:12AM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 02:00AM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 06:20AM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 06:24AM] Smurfit used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 06:26AM] Smurfit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 06:26AM] Smurfit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 06:26AM] Smurfit used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/23/23 06:26AM] Smurfit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 06:27AM] Smurfit used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 06:28AM] Smurfit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 11:22AM] Smurfit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 11:34AM] Smurfit used command ::ref noble | Player rights = CLERIC_DONATOR	
[4/23/23 11:45AM] Smurfit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:02PM] Smurfit used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:04PM] Smurfit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:06PM] Smurfit used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:11PM] Smurfit used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:32PM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:33PM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Smurfit used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:35PM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 01:31PM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:32PM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 01:33PM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 01:37PM] Smurfit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 01:39PM] Smurfit used command ::afkzone | Player rights = CLERIC_DONATOR	
[4/23/23 01:39PM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 04:01PM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/24/23 07:27PM] Smurfit used command ::afk | Player rights = CLERIC_DONATOR	
[4/25/23 05:43AM] Smurfit used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 06:04AM] Smurfit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 06:09AM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 06:11AM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 07:10AM] Smurfit used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 07:31AM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 07:32AM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 07:32AM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 07:34AM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 07:34AM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 07:36AM] Smurfit used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 07:37AM] Smurfit used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 09:31AM] Smurfit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 09:32AM] Smurfit used command ::nineails | Player rights = CLERIC_DONATOR	
[4/25/23 09:32AM] Smurfit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 09:33AM] Smurfit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 09:44AM] Smurfit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 10:31AM] Smurfit used command ::veigar | Player rights = TORMENTED_DONATOR	
