[4/16/23 09:38AM] Happy Afk used command ::home | Player rights = PLAYER	
[4/16/23 09:39AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/16/23 09:41AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/17/23 11:57AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/17/23 08:30PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/18/23 12:56PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/19/23 08:47AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/19/23 10:34AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/20/23 05:16AM] Happy Afk used command ::Afk | Player rights = PLAYER	
[4/20/23 08:23PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/20/23 08:33PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/21/23 05:09AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/21/23 09:51PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/22/23 08:40AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/23/23 09:20AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/23/23 09:39AM] Happy Afk used command ::vboss | Player rights = PLAYER	
[4/23/23 09:39AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/23/23 10:04AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/23/23 12:00PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/23/23 12:31PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/23/23 03:07PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/24/23 08:52AM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/25/23 01:12PM] Happy Afk used command ::afk | Player rights = PLAYER	
[4/25/23 01:13PM] Happy Afk used command ::afk | Player rights = PLAYER	
