[4/18/23 06:31AM] Gimly used command ::refer | Player rights = PLAYER	
[4/18/23 06:34AM] Gimly used command ::start | Player rights = PLAYER	
[4/18/23 06:40AM] Gimly used command ::hidedrops | Player rights = PLAYER	
[4/18/23 06:40AM] Gimly used command ::hidecommon | Player rights = PLAYER	
[4/18/23 06:40AM] Gimly used command ::hidecommons | Player rights = PLAYER	
[4/18/23 06:41AM] Gimly used command ::ninetials | Player rights = PLAYER	
[4/18/23 06:41AM] Gimly used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:41AM] Gimly used command ::veigar | Player rights = PLAYER	
[4/18/23 06:42AM] Gimly used command ::curses | Player rights = PLAYER	
[4/18/23 06:42AM] Gimly used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:43AM] Gimly used command ::meruem | Player rights = PLAYER	
[4/18/23 06:45AM] Gimly used command ::starter | Player rights = PLAYER	
[4/18/23 06:46AM] Gimly used command ::vote | Player rights = PLAYER	
[4/18/23 06:48AM] Gimly used command ::event | Player rights = PLAYER	
[4/18/23 06:48AM] Gimly used command ::start | Player rights = PLAYER	
[4/18/23 06:48AM] Gimly used command ::claimvote | Player rights = PLAYER	
[4/18/23 06:48AM] Gimly used command ::voted | Player rights = PLAYER	
[4/18/23 06:48AM] Gimly used command ::claimrewards | Player rights = PLAYER	
[4/18/23 06:48AM] Gimly used command ::vote | Player rights = PLAYER	
[4/18/23 06:48AM] Gimly used command ::claimvote | Player rights = PLAYER	
[4/18/23 06:49AM] Gimly used command ::vote | Player rights = PLAYER	
[4/18/23 06:49AM] Gimly used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 07:11AM] Gimly used command ::veigar | Player rights = PLAYER	
