[4/16/23 01:25PM] Deadlyhorror used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 01:29PM] Deadlyhorror used command ::train | Player rights = PLAYER	
[4/16/23 01:31PM] Deadlyhorror used command ::donate | Player rights = PLAYER	
[4/16/23 01:33PM] Deadlyhorror used command ::ref | Player rights = PLAYER	
[4/16/23 01:38PM] Deadlyhorror used command ::dr | Player rights = PLAYER	
[4/16/23 01:38PM] Deadlyhorror used command ::dr | Player rights = PLAYER	
[4/16/23 01:44PM] Deadlyhorror used command ::ents | Player rights = PLAYER	
[4/16/23 01:53PM] Deadlyhorror used command ::veigar | Player rights = PLAYER	
[4/16/23 01:55PM] Deadlyhorror used command ::train | Player rights = PLAYER	
[4/16/23 01:56PM] Deadlyhorror used command ::vote | Player rights = PLAYER	
[4/16/23 01:58PM] Deadlyhorror used command ::voteboss | Player rights = PLAYER	
[4/16/23 01:58PM] Deadlyhorror used command ::train | Player rights = PLAYER	
[4/16/23 02:07PM] Deadlyhorror used command ::deals | Player rights = PLAYER	
[4/16/23 02:12PM] Deadlyhorror used command ::bank | Player rights = PLAYER	
[4/16/23 02:13PM] Deadlyhorror used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 02:23PM] Deadlyhorror used command ::veigar | Player rights = PLAYER	
[4/16/23 02:24PM] Deadlyhorror used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:24PM] Deadlyhorror used command ::golden | Player rights = PLAYER	
[4/16/23 02:53PM] Deadlyhorror used command ::veigar | Player rights = PLAYER	
