[4/18/23 07:58AM] Joseph used command ::ref | Player rights = PLAYER	
[4/18/23 09:05AM] Joseph used command ::ref | Player rights = PLAYER	
[4/18/23 09:07AM] Joseph used command ::donate | Player rights = PLAYER	
[4/18/23 09:09AM] Joseph used command ::raid | Player rights = PLAYER	
[4/18/23 09:10AM] Joseph used command ::Cox | Player rights = PLAYER	
[4/18/23 09:11AM] Joseph used command ::veigar | Player rights = PLAYER	
[4/18/23 09:16AM] Joseph used command ::ref | Player rights = PLAYER	
[4/18/23 09:16AM] Joseph used command ::ref | Player rights = PLAYER	
[4/18/23 09:16AM] Joseph used command ::ref | Player rights = PLAYER	
[4/18/23 09:35AM] Joseph used command ::task | Player rights = PLAYER	
[4/18/23 09:50AM] Joseph used command ::ref | Player rights = PLAYER	
