[4/19/23 03:41PM] Shadowchii used command ::referal | Player rights = PLAYER	
[4/20/23 02:18PM] Shadowchii used command ::commands | Player rights = PLAYER	
[4/20/23 02:19PM] Shadowchii used command ::veigar | Player rights = PLAYER	
[4/20/23 02:39PM] Shadowchii used command ::vote | Player rights = PLAYER	
[4/20/23 02:48PM] Shadowchii used command ::kills | Player rights = PLAYER	
[4/20/23 02:49PM] Shadowchii used command ::veigar | Player rights = PLAYER	
[4/20/23 02:50PM] Shadowchii used command ::vboss | Player rights = PLAYER	
[4/20/23 02:59PM] Shadowchii used command ::kills | Player rights = PLAYER	
[4/20/23 03:02PM] Shadowchii used command ::kills | Player rights = PLAYER	
[4/20/23 03:19PM] Shadowchii used command ::veigar | Player rights = PLAYER	
[4/20/23 03:20PM] Shadowchii used command ::claimvote | Player rights = PLAYER	
[4/20/23 03:20PM] Shadowchii used command ::claimvote | Player rights = PLAYER	
[4/20/23 03:20PM] Shadowchii used command ::voted | Player rights = PLAYER	
[4/20/23 03:20PM] Shadowchii used command ::commands | Player rights = PLAYER	
[4/20/23 03:21PM] Shadowchii used command ::voted | Player rights = PLAYER	
[4/20/23 03:25PM] Shadowchii used command ::kills | Player rights = PLAYER	
[4/20/23 03:43PM] Shadowchii used command ::voted | Player rights = PLAYER	
[4/20/23 03:43PM] Shadowchii used command ::reward 1 | Player rights = PLAYER	
