[4/18/23 08:38PM] Eternal used command ::refer | Player rights = PLAYER	
[4/18/23 08:41PM] Eternal used command ::Train | Player rights = PLAYER	
[4/18/23 08:51PM] Eternal used command ::bank | Player rights = PLAYER	
[4/18/23 08:52PM] Eternal used command ::train | Player rights = PLAYER	
[4/18/23 09:06PM] Eternal used command ::prayer | Player rights = PLAYER	
[4/18/23 09:06PM] Eternal used command ::home | Player rights = PLAYER	
[4/18/23 09:11PM] Eternal used command ::veigar | Player rights = PLAYER	
[4/18/23 09:14PM] Eternal used command ::home | Player rights = PLAYER	
[4/18/23 09:26PM] Eternal used command ::pos | Player rights = PLAYER	
[4/18/23 09:26PM] Eternal used command ::home | Player rights = PLAYER	
[4/18/23 09:27PM] Eternal used command ::pos | Player rights = PLAYER	
[4/18/23 09:32PM] Eternal used command ::npckills | Player rights = PLAYER	
[4/18/23 09:32PM] Eternal used command ::teleport | Player rights = PLAYER	
[4/18/23 09:42PM] Eternal used command :::veigar | Player rights = PLAYER	
[4/18/23 09:42PM] Eternal used command ::veigar | Player rights = PLAYER	
[4/18/23 09:54PM] Eternal used command ::meruem | Player rights = PLAYER	
[4/19/23 04:58PM] Eternal used command ::home | Player rights = PLAYER	
[4/19/23 05:07PM] Eternal used command ::home | Player rights = PLAYER	
[4/19/23 05:09PM] Eternal used command ::bank | Player rights = PLAYER	
[4/19/23 09:05PM] Eternal used command ::dropoff | Player rights = PLAYER	
[4/19/23 09:06PM] Eternal used command ::dropoff | Player rights = PLAYER	
[4/19/23 09:06PM] Eternal used command ::dropon | Player rights = PLAYER	
[4/20/23 07:16AM] Eternal used command ::wr3cked | Player rights = PLAYER	
[4/20/23 07:19AM] Eternal used command ::veigar | Player rights = PLAYER	
[4/20/23 07:21AM] Eternal used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:22AM] Eternal used command ::meruem | Player rights = PLAYER	
[4/20/23 07:24AM] Eternal used command ::vboss | Player rights = PLAYER	
[4/20/23 08:08AM] Eternal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:08AM] Eternal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:19AM] Eternal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:22AM] Eternal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:24AM] Eternal used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:29PM] Eternal used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:31PM] Eternal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33PM] Eternal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34PM] Eternal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Eternal used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:32AM] Eternal used command ::curses | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Eternal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Eternal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:36AM] Eternal used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:46AM] Eternal used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:46AM] Eternal used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:46AM] Eternal used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:05AM] Eternal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:06AM] Eternal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:11AM] Eternal used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:12AM] Eternal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:12AM] Eternal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:12AM] Eternal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:24AM] Eternal used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:25AM] Eternal used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:26AM] Eternal used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:26AM] Eternal used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:26AM] Eternal used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:27AM] Eternal used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 10:29AM] Eternal used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 10:29AM] Eternal used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 10:29AM] Eternal used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 10:29AM] Eternal used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 10:30AM] Eternal used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 10:38AM] Eternal used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 10:42AM] Eternal used command ::shops | Player rights = CLERIC_DONATOR	
[4/27/23 10:42AM] Eternal used command ::shop | Player rights = CLERIC_DONATOR	
[4/27/23 10:53AM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 11:05AM] Eternal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 11:06AM] Eternal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 11:07AM] Eternal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 11:08AM] Eternal used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 11:10AM] Eternal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 11:11AM] Eternal used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 11:17AM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 11:17AM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 11:20AM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 11:51AM] Eternal used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/27/23 12:09PM] Eternal used command ::elo | Player rights = CLERIC_DONATOR	
