[4/18/23 05:05PM] Yavid used command ::ref | Player rights = PLAYER	
[4/18/23 05:07PM] Yavid used command ::ref | Player rights = PLAYER	
[4/18/23 05:08PM] Yavid used command ::store | Player rights = PLAYER	
[4/18/23 05:11PM] Yavid used command ::veigar | Player rights = PLAYER	
[4/18/23 05:12PM] Yavid used command ::::train | Player rights = PLAYER	
[4/18/23 05:12PM] Yavid used command ::train | Player rights = PLAYER	
[4/18/23 05:20PM] Yavid used command ::train | Player rights = PLAYER	
[4/18/23 05:29PM] Yavid used command ::voteboss | Player rights = PLAYER	
[4/18/23 05:29PM] Yavid used command ::train | Player rights = PLAYER	
[4/18/23 05:30PM] Yavid used command ::voteboss | Player rights = PLAYER	
[4/18/23 05:32PM] Yavid used command ::train | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:33PM] Yavid used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:34PM] Yavid used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:34PM] Yavid used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:36PM] Yavid used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:39PM] Yavid used command ::train | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41PM] Yavid used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Yavid used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:40AM] Yavid used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:40AM] Yavid used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:41AM] Yavid used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:41AM] Yavid used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:44AM] Yavid used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Yavid used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:15AM] Yavid used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19AM] Yavid used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:42AM] Yavid used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:42AM] Yavid used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:43AM] Yavid used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:43AM] Yavid used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:44AM] Yavid used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:44AM] Yavid used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:45AM] Yavid used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:45AM] Yavid used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:46AM] Yavid used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:48AM] Yavid used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:55AM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:55AM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:10PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:12PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Yavid used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Yavid used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Yavid used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Yavid used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Yavid used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:55PM] Yavid used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Yavid used command ::vegiar | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:16PM] Yavid used command ::yell 7 more votes for vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:17PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:18PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Yavid used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:24PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:36PM] Yavid used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 01:36PM] Yavid used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:03PM] Yavid used command ::deals | Player rights = CLERIC_DONATOR	
[4/19/23 06:07PM] Yavid used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 06:13PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:15PM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:17PM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:17PM] Yavid used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 02:59PM] Yavid used command ::store | Player rights = CLERIC_DONATOR	
[4/20/23 05:30PM] Yavid used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 05:31PM] Yavid used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 05:32PM] Yavid used command ::store | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Yavid used command ::veigat | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:19PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20PM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Yavid used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:22PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:24PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:27PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:29PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:39PM] Yavid used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:41PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:42PM] Yavid used command ::yell cheap 1$ scroll and vote scrolls in my pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:43PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:44PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:45PM] Yavid used command ::yell $1 scroll for 55k and vote scrolls for 25k in my pos  | Player rights = CLERIC_DONATOR	
[4/20/23 06:49PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:49PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:54PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:59PM] Yavid used command ::POS | Player rights = CLERIC_DONATOR	
[4/20/23 07:00PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:01PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:04PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:05PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:19PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:20PM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:21PM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:31PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:32PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:32PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:33PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:41PM] Yavid used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 07:43PM] Yavid used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 07:49PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
