[4/15/23 02:45PM] Wet used command ::combat | Player rights = PLAYER	
[4/15/23 02:45PM] Wet used command ::zones | Player rights = PLAYER	
[4/15/23 02:59PM] Wet used command ::veigar | Player rights = PLAYER	
[4/15/23 03:22PM] Wet used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 03:26PM] Wet used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:29PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:32PM] Wet used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] Wet used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:58PM] Wet used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:59PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:06PM] Wet used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:16PM] Wet used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:19PM] Wet used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:20PM] Wet used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:20PM] Wet used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:29PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:30PM] Wet used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:35PM] Wet used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:59PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:25PM] Wet used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Wet used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Wet used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:59PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:32PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:02PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:32PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:02PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:24PM] Wet used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:25PM] Wet used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:25PM] Wet used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:26PM] Wet used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:26PM] Wet used command ::reward | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:26PM] Wet used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:32PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:02PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:04PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:32PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Wet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:30PM] Wet used command ::voteboss | Player rights = GRACEFUL_DONATOR	
