[4/16/23 05:17AM] Stiffyman used command ::pos | Player rights = PLAYER	
[4/16/23 05:17AM] Stiffyman used command ::ref | Player rights = PLAYER	
[4/16/23 06:21AM] Stiffyman used command ::vote | Player rights = PLAYER	
[4/16/23 06:23AM] Stiffyman used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:23AM] Stiffyman used command ::veigar | Player rights = PLAYER	
[4/16/23 06:28AM] Stiffyman used command ::nintails | Player rights = PLAYER	
[4/16/23 06:28AM] Stiffyman used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:29AM] Stiffyman used command ::meruem | Player rights = PLAYER	
[4/16/23 06:32AM] Stiffyman used command ::voteboss | Player rights = PLAYER	
[4/16/23 06:33AM] Stiffyman used command ::claimvote | Player rights = PLAYER	
[4/16/23 06:34AM] Stiffyman used command ::reward 1 | Player rights = PLAYER	
[4/16/23 06:37AM] Stiffyman used command ::bank | Player rights = PLAYER	
[4/16/23 06:37AM] Stiffyman used command ::bank | Player rights = PLAYER	
[4/16/23 06:37AM] Stiffyman used command ::bank | Player rights = PLAYER	
[4/16/23 06:37AM] Stiffyman used command ::baNK | Player rights = PLAYER	
[4/16/23 06:38AM] Stiffyman used command ::bank | Player rights = PLAYER	
[4/16/23 06:40AM] Stiffyman used command ::pos | Player rights = PLAYER	
[4/16/23 06:53AM] Stiffyman used command ::VEIGAR | Player rights = PLAYER	
[4/16/23 07:01AM] Stiffyman used command ::REF | Player rights = PLAYER	
[4/16/23 07:17AM] Stiffyman used command ::reward 1 | Player rights = PLAYER	
[4/16/23 07:23AM] Stiffyman used command ::veigar | Player rights = PLAYER	
[4/16/23 07:24AM] Stiffyman used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:24AM] Stiffyman used command ::meruem | Player rights = PLAYER	
[4/16/23 08:07AM] Stiffyman used command ::bank | Player rights = PLAYER	
[4/16/23 08:33AM] Stiffyman used command ::golden | Player rights = PLAYER	
[4/16/23 08:49AM] Stiffyman used command ::store | Player rights = PLAYER	
[4/16/23 08:53AM] Stiffyman used command ::veigar | Player rights = PLAYER	
[4/16/23 10:45AM] Stiffyman used command ::voteboss | Player rights = PLAYER	
[4/16/23 10:53AM] Stiffyman used command ::veigar | Player rights = PLAYER	
[4/16/23 10:54AM] Stiffyman used command ::bank | Player rights = PLAYER	
[4/16/23 10:59AM] Stiffyman used command ::totem | Player rights = PLAYER	
[4/16/23 11:10AM] Stiffyman used command ::pos | Player rights = PLAYER	
[4/16/23 11:23AM] Stiffyman used command ::veigar | Player rights = PLAYER	
[4/16/23 11:24AM] Stiffyman used command ::ninetails\ | Player rights = PLAYER	
[4/16/23 11:24AM] Stiffyman used command ::ninetails | Player rights = PLAYER	
[4/16/23 11:24AM] Stiffyman used command ::mereum | Player rights = PLAYER	
[4/16/23 11:25AM] Stiffyman used command ::mereum | Player rights = PLAYER	
[4/16/23 11:25AM] Stiffyman used command ::meruem | Player rights = PLAYER	
[4/16/23 11:30AM] Stiffyman used command ::voteboss | Player rights = PLAYER	
[4/16/23 02:54PM] Stiffyman used command ::veigar | Player rights = PLAYER	
[4/16/23 03:24PM] Stiffyman used command ::ninetails | Player rights = PLAYER	
[4/16/23 03:24PM] Stiffyman used command ::ninetails | Player rights = PLAYER	
[4/16/23 03:24PM] Stiffyman used command ::mereum | Player rights = PLAYER	
[4/16/23 03:25PM] Stiffyman used command ::mereum | Player rights = PLAYER	
[4/17/23 04:25AM] Stiffyman used command ::pos | Player rights = PLAYER	
[4/17/23 06:09AM] Stiffyman used command ::veigAr | Player rights = PLAYER	
[4/17/23 07:02AM] Stiffyman used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:08AM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:31AM] Stiffyman used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:05AM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:06AM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:08AM] Stiffyman used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:10AM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:13AM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:14AM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:39AM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:50AM] Stiffyman used command ::ref fpk merk | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Stiffyman used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Stiffyman used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Stiffyman used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Stiffyman used command ::veigasr | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Stiffyman used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Stiffyman used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Stiffyman used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Stiffyman used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Stiffyman used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Stiffyman used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Stiffyman used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Stiffyman used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Stiffyman used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Stiffyman used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40PM] Stiffyman used command ::voss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40PM] Stiffyman used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:25PM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:25PM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:59PM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:59PM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:59PM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:00PM] Stiffyman used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:00PM] Stiffyman used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:07PM] Stiffyman used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:10PM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:11PM] Stiffyman used command ::vrigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:11PM] Stiffyman used command ::vrigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:11PM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:17PM] Stiffyman used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:27PM] Stiffyman used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:27PM] Stiffyman used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:29PM] Stiffyman used command ::::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:29PM] Stiffyman used command ::reward 1all | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:29PM] Stiffyman used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Stiffyman used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42PM] Stiffyman used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42PM] Stiffyman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42PM] Stiffyman used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:07PM] Stiffyman used command ::elo | Player rights = GRACEFUL_DONATOR	
