[4/20/23 12:48PM] Fatekill used command ::ref | Player rights = PLAYER	
[4/20/23 12:49PM] Fatekill used command ::daily | Player rights = PLAYER	
[4/20/23 12:49PM] Fatekill used command ::veigar | Player rights = PLAYER	
[4/20/23 12:51PM] Fatekill used command ::train | Player rights = PLAYER	
[4/21/23 12:01PM] Fatekill used command ::home | Player rights = PLAYER	
[4/21/23 12:03PM] Fatekill used command ::veigar | Player rights = PLAYER	
[4/21/23 12:04PM] Fatekill used command ::vote | Player rights = PLAYER	
[4/21/23 12:05PM] Fatekill used command ::voteboss | Player rights = PLAYER	
[4/21/23 12:06PM] Fatekill used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 12:09PM] Fatekill used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:09PM] Fatekill used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:13PM] Fatekill used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:13PM] Fatekill used command ::fps | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:14PM] Fatekill used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:33PM] Fatekill used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Fatekill used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:56PM] Fatekill used command ::home | Player rights = GRACEFUL_DONATOR	
