[4/17/23 11:33AM] Pinpin used command ::veigar | Player rights = PLAYER	
[4/17/23 11:33AM] Pinpin used command ::merk | Player rights = PLAYER	
[4/17/23 11:33AM] Pinpin used command ::nintail | Player rights = PLAYER	
[4/17/23 11:33AM] Pinpin used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:45AM] Pinpin used command ::train | Player rights = PLAYER	
[4/17/23 11:52AM] Pinpin used command ::meruem | Player rights = PLAYER	
[4/17/23 11:54AM] Pinpin used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] Pinpin used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] Pinpin used command ::voteboss | Player rights = PLAYER	
[4/17/23 11:58AM] Pinpin used command ::task | Player rights = PLAYER	
[4/17/23 11:58AM] Pinpin used command ::tasks | Player rights = PLAYER	
[4/17/23 12:02PM] Pinpin used command ::veigar | Player rights = PLAYER	
[4/17/23 12:08PM] Pinpin used command ::veigar | Player rights = PLAYER	
[4/17/23 12:09PM] Pinpin used command ::meruem | Player rights = PLAYER	
[4/17/23 12:11PM] Pinpin used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:13PM] Pinpin used command ::golden | Player rights = PLAYER	
[4/17/23 12:15PM] Pinpin used command ::golden | Player rights = PLAYER	
[4/17/23 12:15PM] Pinpin used command ::vboss | Player rights = PLAYER	
[4/17/23 12:17PM] Pinpin used command ::veigar | Player rights = PLAYER	
[4/17/23 12:17PM] Pinpin used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:18PM] Pinpin used command ::meruem | Player rights = PLAYER	
[4/17/23 12:18PM] Pinpin used command ::golden | Player rights = PLAYER	
[4/17/23 12:19PM] Pinpin used command ::vboss | Player rights = PLAYER	
[4/17/23 12:32PM] Pinpin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Pinpin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Pinpin used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:39PM] Pinpin used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:50PM] Pinpin used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:01PM] Pinpin used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Pinpin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:12PM] Pinpin used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 01:14PM] Pinpin used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 01:31PM] Pinpin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:31PM] Pinpin used command ::yell veigar incoming | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Pinpin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Pinpin used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Pinpin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:11PM] Pinpin used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 02:31PM] Pinpin used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 02:31PM] Pinpin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Pinpin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Pinpin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:35PM] Pinpin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:27AM] Pinpin used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 12:28AM] Pinpin used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 12:29AM] Pinpin used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 12:34AM] Pinpin used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:41AM] Pinpin used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:43AM] Pinpin used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:44AM] Pinpin used command ::pos | Player rights = MYSTICAL_DONATOR	
