[4/20/23 08:37AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 08:38AM] Ruvk used command ::npc ::Refer'wr3ckedyou' | Player rights = PLAYER	
[4/20/23 08:38AM] Ruvk used command ::refer | Player rights = PLAYER	
[4/20/23 08:39AM] Ruvk used command ::pos | Player rights = PLAYER	
[4/20/23 08:39AM] Ruvk used command ::bank | Player rights = PLAYER	
[4/20/23 08:41AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 08:42AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 08:46AM] Ruvk used command ::sarter | Player rights = PLAYER	
[4/20/23 08:46AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 08:49AM] Ruvk used command ::veigar | Player rights = PLAYER	
[4/20/23 08:51AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 08:53AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 08:53AM] Ruvk used command ::ref | Player rights = PLAYER	
[4/20/23 08:56AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 08:57AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 08:59AM] Ruvk used command ::Starter | Player rights = PLAYER	
[4/20/23 09:00AM] Ruvk used command ::vote | Player rights = PLAYER	
[4/20/23 09:01AM] Ruvk used command ::claimvote | Player rights = PLAYER	
[4/20/23 09:02AM] Ruvk used command ::claim | Player rights = PLAYER	
[4/20/23 09:02AM] Ruvk used command ::claimvote | Player rights = PLAYER	
[4/20/23 09:02AM] Ruvk used command ::reward 1 | Player rights = PLAYER	
[4/20/23 09:02AM] Ruvk used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 09:03AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 09:05AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 09:05AM] Ruvk used command ::starter | Player rights = PLAYER	
[4/20/23 09:06AM] Ruvk used command ::Starter | Player rights = PLAYER	
[4/20/23 09:19AM] Ruvk used command ::veigar | Player rights = PLAYER	
[4/20/23 09:24AM] Ruvk used command ::voteboss | Player rights = PLAYER	
[4/20/23 09:33AM] Ruvk used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:43AM] Ruvk used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:43AM] Ruvk used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:43AM] Ruvk used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:49AM] Ruvk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:19AM] Ruvk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:24AM] Ruvk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:28AM] Ruvk used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Ruvk used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:32PM] Ruvk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:46PM] Ruvk used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:03PM] Ruvk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:15PM] Ruvk used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:16PM] Ruvk used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:32PM] Ruvk used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:34PM] Ruvk used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:36PM] Ruvk used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49PM] Ruvk used command ::claim | Player rights = GRACEFUL_DONATOR	
