[4/22/23 01:34PM] Afkbrazil used command ::home | Player rights = PLAYER	
[4/22/23 01:35PM] Afkbrazil used command ::ref | Player rights = PLAYER	
[4/22/23 01:35PM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/22/23 05:57PM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/23/23 04:20AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/23/23 05:36AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/23/23 12:37PM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 01:24AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 03:18AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 03:26AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 03:28AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 04:14AM] Afkbrazil used command ::vote | Player rights = PLAYER	
[4/26/23 04:17AM] Afkbrazil used command ::reward 1 all | Player rights = PLAYER	
[4/26/23 05:45AM] Afkbrazil used command ::Afk | Player rights = PLAYER	
[4/26/23 07:45AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 08:31AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 09:17AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 03:20PM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 06:54PM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/26/23 07:15PM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/27/23 03:14AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/27/23 06:22AM] Afkbrazil used command ::home | Player rights = PLAYER	
[4/27/23 06:23AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/27/23 06:28AM] Afkbrazil used command ::vote | Player rights = PLAYER	
[4/27/23 06:31AM] Afkbrazil used command ::reward 1 all3 | Player rights = PLAYER	
[4/27/23 06:31AM] Afkbrazil used command ::reward 1 all | Player rights = PLAYER	
[4/27/23 08:41AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/27/23 11:47AM] Afkbrazil used command ::afk | Player rights = PLAYER	
[4/27/23 03:04PM] Afkbrazil used command ::pos | Player rights = PLAYER	
