[4/19/23 01:25PM] Asylum used command ::train | Player rights = PLAYER	
[4/19/23 01:26PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:26PM] Asylum used command ::vote | Player rights = PLAYER	
[4/19/23 01:29PM] Asylum used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 01:34PM] Asylum used command ::train | Player rights = PLAYER	
[4/19/23 01:39PM] Asylum used command ::pos | Player rights = PLAYER	
[4/19/23 01:43PM] Asylum used command ::veigar | Player rights = PLAYER	
[4/19/23 01:45PM] Asylum used command ::donate | Player rights = PLAYER	
[4/19/23 01:45PM] Asylum used command ::deals | Player rights = PLAYER	
[4/19/23 01:48PM] Asylum used command ::pos | Player rights = PLAYER	
[4/19/23 01:48PM] Asylum used command ::home | Player rights = PLAYER	
[4/19/23 01:48PM] Asylum used command ::pos | Player rights = PLAYER	
[4/19/23 01:49PM] Asylum used command ::Home | Player rights = PLAYER	
[4/19/23 01:49PM] Asylum used command ::pos | Player rights = PLAYER	
[4/19/23 01:49PM] Asylum used command ::pos | Player rights = PLAYER	
[4/19/23 01:49PM] Asylum used command ::pos | Player rights = PLAYER	
[4/19/23 01:56PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:56PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:56PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:56PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:56PM] Asylum used command ::ref  | Player rights = PLAYER	
[4/19/23 01:56PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:56PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:56PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:57PM] Asylum used command ::Re | Player rights = PLAYER	
[4/19/23 01:57PM] Asylum used command ::re | Player rights = PLAYER	
[4/19/23 01:57PM] Asylum used command ::Ref | Player rights = PLAYER	
[4/19/23 01:58PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 01:59PM] Asylum used command ::ref | Player rights = PLAYER	
[4/19/23 02:13PM] Asylum used command ::veigar | Player rights = PLAYER	
[4/19/23 02:27PM] Asylum used command ::voteboss | Player rights = PLAYER	
[4/19/23 02:29PM] Asylum used command ::Starter | Player rights = PLAYER	
[4/19/23 02:39PM] Asylum used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Asylum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:48PM] Asylum used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:09PM] Asylum used command ::falador | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Asylum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Asylum used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:21PM] Asylum used command ::pest | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:36PM] Asylum used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:40PM] Asylum used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:42PM] Asylum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:20PM] Asylum used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:20PM] Asylum used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:20PM] Asylum used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:20PM] Asylum used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:26PM] Asylum used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:44PM] Asylum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:45PM] Asylum used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:46PM] Asylum used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:50PM] Asylum used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:29AM] Asylum used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:47AM] Asylum used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:48AM] Asylum used command ::Donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:49AM] Asylum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:50AM] Asylum used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:51AM] Asylum used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:54AM] Asylum used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 11:56AM] Asylum used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Asylum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Asylum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:52PM] Asylum used command ::lano | Player rights = CLERIC_DONATOR	
[4/20/23 01:10PM] Asylum used command ::totem | Player rights = CLERIC_DONATOR	
[4/20/23 01:10PM] Asylum used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 01:13PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Asylum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:33PM] Asylum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Asylum used command ::voteboss | Player rights = CLERIC_DONATOR	
