[4/20/23 02:50PM] Nerd used command ::totem | Player rights = PLAYER	
[4/20/23 02:54PM] Nerd used command ::home | Player rights = PLAYER	
[4/20/23 02:55PM] Nerd used command ::refferal | Player rights = PLAYER	
[4/20/23 02:57PM] Nerd used command ::refer | Player rights = PLAYER	
[4/20/23 03:05PM] Nerd used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:08PM] Nerd used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:18PM] Nerd used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:28PM] Nerd used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:29PM] Nerd used command ::hideall | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:06PM] Nerd used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:19PM] Nerd used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:37PM] Nerd used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:48PM] Nerd used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:48PM] Nerd used command ::home | Player rights = GRACEFUL_DONATOR	
