[4/15/23 09:50AM] Saladin used command ::vote | Player rights = PLAYER	
[4/15/23 09:51AM] Saladin used command ::claimvote | Player rights = PLAYER	
[4/15/23 09:51AM] Saladin used command ::reward 1 | Player rights = PLAYER	
[4/15/23 09:51AM] Saladin used command ::reward 1 | Player rights = PLAYER	
[4/15/23 09:59AM] Saladin used command ::veigar | Player rights = PLAYER	
[4/15/23 10:01AM] Saladin used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 10:29AM] Saladin used command ::veigAR | Player rights = PLAYER	
[4/15/23 10:29AM] Saladin used command ::NINETAILS | Player rights = PLAYER	
[4/15/23 10:29AM] Saladin used command ::meruem | Player rights = PLAYER	
[4/15/23 10:37AM] Saladin used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:58AM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Saladin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Saladin used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:00PM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:58PM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Saladin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:58PM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:28PM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:30PM] Saladin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] Saladin used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:32PM] Saladin used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:58PM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:29PM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:49PM] Saladin used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52PM] Saladin used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:55PM] Saladin used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:56PM] Saladin used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:12AM] Saladin used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:13AM] Saladin used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Saladin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Saladin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29AM] Saladin used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Saladin used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] Saladin used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:30AM] Saladin used command ::afk | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:24AM] Saladin used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] Saladin used command ::vegar | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:06AM] Saladin used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:20AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:40AM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:43AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Saladin used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Saladin used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Saladin used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:26AM] Saladin used command ::ninerails | Player rights = CLERIC_DONATOR	
[4/16/23 10:26AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:43AM] Saladin used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:54AM] Saladin used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 11:22AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Saladin used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Saladin used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:53AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:37PM] Saladin used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:39PM] Saladin used command ::players | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:57PM] Saladin used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 02:23PM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
