[4/17/23 07:42PM] Omni used command ::vote | Player rights = PLAYER	
[4/17/23 07:42PM] Omni used command ::bank | Player rights = PLAYER	
[4/17/23 07:43PM] Omni used command ::starter | Player rights = PLAYER	
[4/17/23 07:44PM] Omni used command ::voted | Player rights = PLAYER	
[4/17/23 07:45PM] Omni used command ::::reward 1 all | Player rights = PLAYER	
[4/17/23 07:45PM] Omni used command ::claimvote | Player rights = PLAYER	
[4/17/23 07:46PM] Omni used command ::voted | Player rights = PLAYER	
[4/17/23 07:47PM] Omni used command ::claimvotes | Player rights = PLAYER	
[4/17/23 07:47PM] Omni used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 07:53PM] Omni used command ::elo | Player rights = PLAYER	
[4/18/23 06:24PM] Omni used command ::vote | Player rights = PLAYER	
[4/18/23 06:25PM] Omni used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 06:34PM] Omni used command ::train | Player rights = PLAYER	
[4/18/23 06:41PM] Omni used command ::vieger | Player rights = PLAYER	
[4/18/23 06:41PM] Omni used command ::veigar | Player rights = PLAYER	
[4/18/23 06:43PM] Omni used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:45PM] Omni used command ::ref walkchaos | Player rights = PLAYER	
[4/18/23 06:45PM] Omni used command ::meruem | Player rights = PLAYER	
[4/18/23 06:47PM] Omni used command ::bank | Player rights = PLAYER	
[4/18/23 06:55PM] Omni used command ::train | Player rights = PLAYER	
[4/18/23 07:00PM] Omni used command ::voteboss | Player rights = PLAYER	
[4/18/23 07:01PM] Omni used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:05PM] Omni used command ::bank | Player rights = GRACEFUL_DONATOR	
