[4/19/23 10:49AM] Jesse used command ::vote | Player rights = PLAYER	
[4/19/23 10:50AM] Jesse used command ::claimvote | Player rights = PLAYER	
[4/19/23 10:50AM] Jesse used command ::vote | Player rights = PLAYER	
[4/19/23 10:51AM] Jesse used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 11:06AM] Jesse used command ::upgrade | Player rights = PLAYER	
[4/19/23 11:06AM] Jesse used command ::upgrade | Player rights = PLAYER	
[4/19/23 11:06AM] Jesse used command ::upgrades | Player rights = PLAYER	
[4/19/23 11:27AM] Jesse used command ::teleport | Player rights = PLAYER	
[4/19/23 11:31AM] Jesse used command ::teleport | Player rights = PLAYER	
[4/19/23 11:41AM] Jesse used command ::voteboss | Player rights = PLAYER	
[4/19/23 11:43AM] Jesse used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Jesse used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Jesse used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Jesse used command ::golden | Player rights = PLAYER	
[4/19/23 11:47AM] Jesse used command ::home | Player rights = PLAYER	
[4/19/23 11:50AM] Jesse used command ::ref wreckedyou | Player rights = PLAYER	
[4/19/23 12:07PM] Jesse used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:09PM] Jesse used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:13PM] Jesse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Jesse used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Jesse used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Jesse used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Jesse used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Jesse used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:44PM] Jesse used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Jesse used command ::voteboss | Player rights = GRACEFUL_DONATOR	
