[4/16/23 12:53AM] Alakazam used command ::ref | Player rights = PLAYER	
[4/16/23 12:54AM] Alakazam used command ::train | Player rights = PLAYER	
[4/16/23 01:04AM] Alakazam used command :: | Player rights = PLAYER	
[4/16/23 01:04AM] Alakazam used command ::bank | Player rights = PLAYER	
[4/16/23 01:16AM] Alakazam used command ::train | Player rights = PLAYER	
[4/16/23 01:17AM] Alakazam used command ::curses | Player rights = PLAYER	
[4/16/23 01:17AM] Alakazam used command ::switchprayer | Player rights = PLAYER	
[4/16/23 01:17AM] Alakazam used command ::commands | Player rights = PLAYER	
[4/16/23 01:22AM] Alakazam used command ::train | Player rights = PLAYER	
[4/16/23 01:23AM] Alakazam used command ::veigar | Player rights = PLAYER	
[4/16/23 01:28AM] Alakazam used command ::ninetails | Player rights = PLAYER	
[4/16/23 01:30AM] Alakazam used command ::meruem | Player rights = PLAYER	
[4/16/23 01:31AM] Alakazam used command ::golden | Player rights = PLAYER	
[4/16/23 01:32AM] Alakazam used command ::home | Player rights = PLAYER	
[4/16/23 01:38AM] Alakazam used command ::totem | Player rights = PLAYER	
[4/16/23 01:40AM] Alakazam used command ::train | Player rights = PLAYER	
[4/16/23 01:53AM] Alakazam used command ::veigar | Player rights = PLAYER	
[4/16/23 01:58AM] Alakazam used command ::pos | Player rights = PLAYER	
[4/16/23 01:58AM] Alakazam used command ::home | Player rights = PLAYER	
[4/16/23 02:00AM] Alakazam used command ::home | Player rights = PLAYER	
[4/16/23 02:09AM] Alakazam used command ::dropoff | Player rights = PLAYER	
[4/16/23 02:23AM] Alakazam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:25AM] Alakazam used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:26AM] Alakazam used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:27AM] Alakazam used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:25AM] Alakazam used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:28AM] Alakazam used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:32AM] Alakazam used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:33AM] Alakazam used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:33AM] Alakazam used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:33AM] Alakazam used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:33AM] Alakazam used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:33AM] Alakazam used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Alakazam used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:42AM] Alakazam used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:43AM] Alakazam used command ::yell selling infi ovl t3 | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:44AM] Alakazam used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] Alakazam used command ::yell buying range wep, 350k | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] Alakazam used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:46AM] Alakazam used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58AM] Alakazam used command ::Yell buying coll ring | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:09AM] Alakazam used command ::veigar | Player rights = GRACEFUL_DONATOR	
