[4/17/23 05:21PM] Skoblin used command ::train | Player rights = PLAYER	
[4/17/23 05:21PM] Skoblin used command ::home | Player rights = PLAYER	
[4/17/23 05:22PM] Skoblin used command ::train | Player rights = PLAYER	
[4/17/23 05:24PM] Skoblin used command ::refer | Player rights = PLAYER	
[4/17/23 05:25PM] Skoblin used command ::refer | Player rights = PLAYER	
[4/17/23 07:49PM] Skoblin used command ::home | Player rights = PLAYER	
[4/18/23 02:41AM] Skoblin used command ::veigar | Player rights = PLAYER	
[4/18/23 02:42AM] Skoblin used command ::ninetails | Player rights = PLAYER	
[4/18/23 02:42AM] Skoblin used command ::vboss | Player rights = PLAYER	
[4/18/23 02:43AM] Skoblin used command ::meruem | Player rights = PLAYER	
[4/18/23 02:44AM] Skoblin used command ::home | Player rights = PLAYER	
[4/18/23 02:57AM] Skoblin used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:57AM] Skoblin used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:57AM] Skoblin used command ::z1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:11AM] Skoblin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:15AM] Skoblin used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:08AM] Skoblin used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:11AM] Skoblin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:41AM] Skoblin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:41AM] Skoblin used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:42AM] Skoblin used command ::ninetails | Player rights = GRACEFUL_DONATOR	
