[4/22/23 07:03AM] Tuggyafk used command ::afk | Player rights = PLAYER	
[4/26/23 07:13AM] Tuggyafk used command ::afk | Player rights = PLAYER	
[4/27/23 01:37AM] Tuggyafk used command ::voteboss | Player rights = PLAYER	
[4/27/23 01:40AM] Tuggyafk used command ::afk | Player rights = PLAYER	
[4/27/23 06:06AM] Tuggyafk used command ::veigar | Player rights = PLAYER	
[4/27/23 06:06AM] Tuggyafk used command ::bank | Player rights = PLAYER	
[4/27/23 06:07AM] Tuggyafk used command ::ninetails | Player rights = PLAYER	
[4/27/23 06:07AM] Tuggyafk used command ::ninetails | Player rights = PLAYER	
[4/27/23 06:08AM] Tuggyafk used command ::meruem | Player rights = PLAYER	
[4/27/23 06:08AM] Tuggyafk used command ::golden | Player rights = PLAYER	
[4/27/23 06:10AM] Tuggyafk used command ::afk | Player rights = PLAYER	
[4/27/23 06:31AM] Tuggyafk used command ::voteboss | Player rights = PLAYER	
[4/27/23 06:32AM] Tuggyafk used command ::afk | Player rights = PLAYER	
[4/27/23 05:05PM] Tuggyafk used command ::golden | Player rights = PLAYER	
[4/27/23 05:06PM] Tuggyafk used command ::golden | Player rights = PLAYER	
[4/27/23 05:06PM] Tuggyafk used command ::veigar | Player rights = PLAYER	
[4/27/23 05:07PM] Tuggyafk used command ::ninetails | Player rights = PLAYER	
[4/27/23 05:09PM] Tuggyafk used command ::golden | Player rights = PLAYER	
[4/27/23 05:09PM] Tuggyafk used command ::home | Player rights = PLAYER	
[4/27/23 05:09PM] Tuggyafk used command ::afk | Player rights = PLAYER	
