[4/17/23 08:25AM] The Chins used command ::train | Player rights = PLAYER	
[4/17/23 08:25AM] The Chins used command ::ref | Player rights = PLAYER	
[4/17/23 08:29AM] The Chins used command ::shops | Player rights = PLAYER	
[4/17/23 08:39AM] The Chins used command ::veiger | Player rights = CLERIC_DONATOR	
[4/17/23 08:39AM] The Chins used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:44AM] The Chins used command ::dz | Player rights = TORMENTED_DONATOR	
[4/17/23 08:44AM] The Chins used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/17/23 08:46AM] The Chins used command ::Dbank | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:46AM] The Chins used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:48AM] The Chins used command :::train | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:48AM] The Chins used command ::train | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:59AM] The Chins used command ::train | Player rights = OBSIDIAN_DONATOR	
[4/17/23 08:59AM] The Chins used command ::Dz | Player rights = OBSIDIAN_DONATOR	
[4/17/23 08:59AM] The Chins used command ::dzone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 08:59AM] The Chins used command ::ozone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:00AM] The Chins used command ::ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:01AM] The Chins used command ::Raids | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:03AM] The Chins used command ::Ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:07AM] The Chins used command ::Ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:07AM] The Chins used command ::train | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:09AM] The Chins used command ::veiger | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:09AM] The Chins used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:11AM] The Chins used command ::train | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:18AM] The Chins used command ::elo | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:20AM] The Chins used command ::Ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:20AM] The Chins used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:21AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:21AM] The Chins used command ::ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:22AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:22AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:22AM] The Chins used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:27AM] The Chins used command ::Ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:30AM] The Chins used command ::Dbank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:30AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:32AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:34AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:34AM] The Chins used command ::Ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:36AM] The Chins used command ::Slayer | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:38AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:38AM] The Chins used command ::Home | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:39AM] The Chins used command ::Ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:39AM] The Chins used command ::veigar | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:42AM] The Chins used command ::ninetails | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:42AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:43AM] The Chins used command ::meruem::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:43AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:44AM] The Chins used command ::meruem | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:45AM] The Chins used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:45AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:46AM] The Chins used command ::golden | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:46AM] The Chins used command ::Ezone | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:50AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:51AM] The Chins used command ::home | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:55AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:56AM] The Chins used command ::bank | Player rights = OBSIDIAN_DONATOR	
[4/17/23 09:56AM] The Chins used command ::Home | Player rights = OBSIDIAN_DONATOR	
