[4/21/23 02:27PM] Ross used command ::refer | Player rights = PLAYER	
[4/21/23 02:32PM] Ross used command ::veigar | Player rights = PLAYER	
[4/21/23 02:33PM] Ross used command ::ninetail | Player rights = PLAYER	
[4/21/23 02:33PM] Ross used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:34PM] Ross used command ::meruem | Player rights = PLAYER	
[4/21/23 02:35PM] Ross used command ::golden | Player rights = PLAYER	
[4/21/23 02:36PM] Ross used command ::home | Player rights = PLAYER	
[4/21/23 02:40PM] Ross used command ::train | Player rights = PLAYER	
[4/21/23 02:42PM] Ross used command ::Train | Player rights = PLAYER	
[4/21/23 03:05PM] Ross used command ::veigar | Player rights = PLAYER	
[4/21/23 03:06PM] Ross used command ::voteboss | Player rights = PLAYER	
[4/21/23 03:10PM] Ross used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:32PM] Ross used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:33PM] Ross used command ::ninetails | Player rights = GRACEFUL_DONATOR	
