[4/16/23 11:26PM] Asquad used command ::ref | Player rights = PLAYER	
[4/16/23 11:26PM] Asquad used command ::Ref | Player rights = PLAYER	
[4/16/23 11:38PM] Asquad used command ::ref | Player rights = PLAYER	
[4/16/23 11:55PM] Asquad used command ::upgrade | Player rights = PLAYER	
[4/16/23 11:55PM] Asquad used command ::upgrade | Player rights = PLAYER	
[4/17/23 12:09AM] Asquad used command ::veiger | Player rights = PLAYER	
[4/17/23 12:10AM] Asquad used command ::veigar | Player rights = PLAYER	
[4/17/23 12:23AM] Asquad used command ::vote | Player rights = PLAYER	
[4/17/23 12:26AM] Asquad used command ::vote | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::voted | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::vote | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::claimvote | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::REWARD 1 | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::reward 3 | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::reward 2 | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::reward 2 | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::reward 1 | Player rights = PLAYER	
[4/17/23 12:31AM] Asquad used command ::reward 1 | Player rights = PLAYER	
[4/17/23 12:39AM] Asquad used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:45AM] Asquad used command ::Dr | Player rights = PLAYER	
[4/17/23 12:45AM] Asquad used command ::Dr | Player rights = PLAYER	
[4/17/23 12:48AM] Asquad used command ::Store | Player rights = PLAYER	
[4/17/23 01:03AM] Asquad used command ::voteboss | Player rights = PLAYER	
[4/17/23 07:31AM] Asquad used command ::train | Player rights = PLAYER	
[4/17/23 07:34AM] Asquad used command ::train | Player rights = PLAYER	
[4/17/23 07:42AM] Asquad used command ::train | Player rights = PLAYER	
[4/17/23 07:45AM] Asquad used command ::train | Player rights = PLAYER	
[4/17/23 07:54AM] Asquad used command ::train | Player rights = PLAYER	
[4/17/23 07:59AM] Asquad used command ::Dr | Player rights = PLAYER	
[4/17/23 08:07AM] Asquad used command ::Voteboss | Player rights = PLAYER	
[4/17/23 08:10AM] Asquad used command ::veigar | Player rights = PLAYER	
[4/17/23 08:50AM] Asquad used command ::home | Player rights = GRACEFUL_DONATOR	
