[4/16/23 12:44AM] Topistico used command ::train | Player rights = PLAYER	
[4/16/23 12:45AM] Topistico used command ::train | Player rights = PLAYER	
[4/16/23 12:47AM] Topistico used command ::train | Player rights = PLAYER	
[4/16/23 12:49AM] Topistico used command ::Train | Player rights = PLAYER	
[4/16/23 12:50AM] Topistico used command ::train | Player rights = PLAYER	
[4/16/23 12:53AM] Topistico used command ::veigar | Player rights = PLAYER	
[4/16/23 12:56AM] Topistico used command ::train | Player rights = PLAYER	
[4/16/23 01:23AM] Topistico used command ::veigar | Player rights = PLAYER	
[4/16/23 01:23AM] Topistico used command ::meruem | Player rights = PLAYER	
[4/16/23 01:24AM] Topistico used command ::veigar | Player rights = PLAYER	
[4/16/23 01:26AM] Topistico used command ::ninetails | Player rights = PLAYER	
[4/16/23 01:26AM] Topistico used command ::meruem | Player rights = PLAYER	
[4/16/23 01:26AM] Topistico used command ::veigar | Player rights = PLAYER	
[4/16/23 01:28AM] Topistico used command ::meruem | Player rights = PLAYER	
[4/16/23 01:29AM] Topistico used command ::ninetails | Player rights = PLAYER	
[4/16/23 01:30AM] Topistico used command ::meruem | Player rights = PLAYER	
[4/16/23 01:53AM] Topistico used command ::veigar | Player rights = PLAYER	
[4/16/23 02:19AM] Topistico used command ::home | Player rights = PLAYER	
[4/16/23 02:23AM] Topistico used command ::golden | Player rights = PLAYER	
[4/16/23 02:24AM] Topistico used command ::veigar | Player rights = PLAYER	
[4/16/23 02:25AM] Topistico used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:26AM] Topistico used command ::golden | Player rights = PLAYER	
[4/16/23 02:53AM] Topistico used command ::veigar | Player rights = PLAYER	
[4/16/23 10:53AM] Topistico used command ::veigar | Player rights = PLAYER	
