[4/15/23 04:30AM] F2p Daddy used command ::Train | Player rights = PLAYER	
[4/15/23 04:36AM] F2p Daddy used command ::Ref | Player rights = PLAYER	
[4/15/23 04:42AM] F2p Daddy used command ::bank | Player rights = PLAYER	
[4/15/23 04:49AM] F2p Daddy used command ::progression | Player rights = PLAYER	
[4/15/23 04:49AM] F2p Daddy used command ::monster | Player rights = PLAYER	
[4/15/23 04:50AM] F2p Daddy used command ::progression | Player rights = PLAYER	
[4/15/23 04:50AM] F2p Daddy used command ::vboss | Player rights = PLAYER	
[4/15/23 04:51AM] F2p Daddy used command ::meruem | Player rights = PLAYER	
[4/15/23 04:53AM] F2p Daddy used command ::boosts | Player rights = PLAYER	
[4/15/23 04:53AM] F2p Daddy used command ::totem | Player rights = PLAYER	
[4/15/23 04:53AM] F2p Daddy used command ::meruem | Player rights = PLAYER	
[4/15/23 04:55AM] F2p Daddy used command ::rev | Player rights = PLAYER	
[4/15/23 04:55AM] F2p Daddy used command ::reverant | Player rights = PLAYER	
