[4/19/23 07:13PM] Satan used command ::veigar | Player rights = PLAYER	
[4/19/23 07:15PM] Satan used command ::veigar | Player rights = PLAYER	
[4/19/23 07:42PM] Satan used command ::ref fpk merk | Player rights = PLAYER	
[4/19/23 07:43PM] Satan used command ::veigar | Player rights = PLAYER	
[4/19/23 07:55PM] Satan used command ::collection | Player rights = PLAYER	
[4/19/23 08:13PM] Satan used command ::veigar | Player rights = PLAYER	
[4/19/23 08:15PM] Satan used command ::ninetails | Player rights = PLAYER	
[4/19/23 08:43PM] Satan used command ::veigar | Player rights = PLAYER	
[4/19/23 08:46PM] Satan used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:15AM] Satan used command ::wr3cked | Player rights = PLAYER	
[4/20/23 07:18AM] Satan used command ::veigar | Player rights = PLAYER	
[4/20/23 07:21AM] Satan used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:22AM] Satan used command ::meruem | Player rights = PLAYER	
[4/20/23 07:34AM] Satan used command ::voteboss | Player rights = PLAYER	
[4/20/23 07:36AM] Satan used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49AM] Satan used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:16AM] Satan used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:16AM] Satan used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:17AM] Satan used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:21AM] Satan used command ::ninetails | Player rights = GRACEFUL_DONATOR	
