[4/20/23 09:28AM] Afk Soup used command ::afkzone | Player rights = PLAYER	
[4/20/23 09:29AM] Afk Soup used command ::Afkzone1 | Player rights = PLAYER	
[4/20/23 09:29AM] Afk Soup used command ::afkzone1 | Player rights = PLAYER	
[4/20/23 09:29AM] Afk Soup used command ::afkzone | Player rights = PLAYER	
[4/20/23 09:29AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 10:24AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:25AM] Afk Soup used command ::afkzone | Player rights = PLAYER	
[4/20/23 10:27AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 10:27AM] Afk Soup used command ::afkzone | Player rights = PLAYER	
[4/20/23 10:27AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 10:30AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 10:31AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 10:31AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 10:31AM] Afk Soup used command ::home | Player rights = PLAYER	
[4/20/23 10:31AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 10:32AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 10:33AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 10:34AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 10:38AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:42AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/20/23 10:46AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 10:46AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 10:47AM] Afk Soup used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:49AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 10:51AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 10:54AM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/20/23 10:56AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 10:57AM] Afk Soup used command ::home | Player rights = PLAYER	
[4/20/23 10:57AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 11:49AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 11:51AM] Afk Soup used command ::afk# | Player rights = PLAYER	
[4/20/23 11:51AM] Afk Soup used command ::afk | Player rights = PLAYER	
