[4/16/23 11:18PM] Cd Black used command ::store | Player rights = PLAYER	
[4/16/23 11:28PM] Cd Black used command ::ref | Player rights = PLAYER	
[4/17/23 05:18AM] Cd Black used command ::bank | Player rights = PLAYER	
[4/17/23 05:31AM] Cd Black used command ::Vote | Player rights = PLAYER	
[4/17/23 05:35AM] Cd Black used command ::reward1 | Player rights = PLAYER	
[4/17/23 05:35AM] Cd Black used command ::reward 1 | Player rights = PLAYER	
[4/17/23 05:35AM] Cd Black used command ::voted | Player rights = PLAYER	
[4/17/23 05:39AM] Cd Black used command ::veigar | Player rights = PLAYER	
[4/17/23 05:41AM] Cd Black used command ::Starter | Player rights = PLAYER	
[4/17/23 05:42AM] Cd Black used command ::starter | Player rights = PLAYER	
[4/17/23 06:09AM] Cd Black used command ::veiger | Player rights = PLAYER	
[4/17/23 06:09AM] Cd Black used command ::veigar | Player rights = PLAYER	
[4/17/23 06:25AM] Cd Black used command ::store | Player rights = PLAYER	
[4/17/23 06:39AM] Cd Black used command ::veigar | Player rights = PLAYER	
[4/17/23 06:41AM] Cd Black used command ::ninetails | Player rights = PLAYER	
[4/17/23 06:41AM] Cd Black used command ::golden | Player rights = PLAYER	
[4/17/23 08:09AM] Cd Black used command ::veigar | Player rights = PLAYER	
[4/17/23 08:11AM] Cd Black used command ::ninetails | Player rights = PLAYER	
[4/17/23 08:28AM] Cd Black used command ::store | Player rights = PLAYER	
[4/17/23 02:02PM] Cd Black used command ::veigar | Player rights = PLAYER	
[4/17/23 02:08PM] Cd Black used command ::store | Player rights = PLAYER	
[4/17/23 06:46PM] Cd Black used command ::store | Player rights = PLAYER	
[4/17/23 06:58PM] Cd Black used command ::store | Player rights = PLAYER	
[4/17/23 07:04PM] Cd Black used command ::claim | Player rights = PLAYER	
[4/17/23 07:16PM] Cd Black used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Cd Black used command ::goldern | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:26PM] Cd Black used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Cd Black used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:34PM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Cd Black used command ::goldern | Player rights = CLERIC_DONATOR	
[4/18/23 01:42PM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:11PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:28PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:40PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:55PM] Cd Black used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 03:00PM] Cd Black used command ::Afk | Player rights = CLERIC_DONATOR	
[4/18/23 03:58PM] Cd Black used command ::Events | Player rights = CLERIC_DONATOR	
[4/18/23 03:58PM] Cd Black used command ::Globals | Player rights = CLERIC_DONATOR	
[4/18/23 03:58PM] Cd Black used command ::global | Player rights = CLERIC_DONATOR	
[4/18/23 03:58PM] Cd Black used command ::Afk | Player rights = CLERIC_DONATOR	
[4/18/23 04:40PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:41PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
