[4/20/23 01:56AM] Vest used command ::vote | Player rights = PLAYER	
[4/20/23 01:59AM] Vest used command ::Reward 1 all | Player rights = PLAYER	
[4/20/23 02:16AM] Vest used command ::new | Player rights = PLAYER	
[4/20/23 02:19AM] Vest used command ::veigar | Player rights = PLAYER	
[4/20/23 02:49AM] Vest used command ::veigar | Player rights = PLAYER	
[4/20/23 03:13AM] Vest used command ::vote | Player rights = PLAYER	
[4/20/23 03:15AM] Vest used command ::Reward 1 | Player rights = PLAYER	
[4/20/23 03:27AM] Vest used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:55AM] Vest used command ::wboss | Player rights = PLAYER	
[4/20/23 07:11AM] Vest used command ::ref wr3ckedyou | Player rights = PLAYER	
[4/20/23 07:18AM] Vest used command ::Veigar | Player rights = PLAYER	
[4/20/23 07:21AM] Vest used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:22AM] Vest used command ::meruem | Player rights = PLAYER	
[4/20/23 07:34AM] Vest used command ::vboss | Player rights = PLAYER	
[4/20/23 07:36AM] Vest used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49AM] Vest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:59AM] Vest used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:20AM] Vest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:22AM] Vest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
