[4/17/23 12:01PM] Astro used command ::ref | Player rights = PLAYER	
[4/17/23 12:02PM] Astro used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 12:04PM] Astro used command ::fpk | Player rights = PLAYER	
[4/17/23 12:05PM] Astro used command ::home | Player rights = PLAYER	
[4/17/23 12:05PM] Astro used command ::staff | Player rights = PLAYER	
[4/17/23 12:05PM] Astro used command ::staff | Player rights = PLAYER	
[4/17/23 12:06PM] Astro used command ::starter | Player rights = PLAYER	
[4/17/23 12:06PM] Astro used command ::vote | Player rights = PLAYER	
[4/17/23 12:08PM] Astro used command ::veiger | Player rights = PLAYER	
[4/17/23 12:08PM] Astro used command ::veigar | Player rights = PLAYER	
[4/17/23 12:09PM] Astro used command ::meruem | Player rights = PLAYER	
[4/17/23 12:11PM] Astro used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:13PM] Astro used command ::golden | Player rights = PLAYER	
[4/17/23 12:15PM] Astro used command ::vboss | Player rights = PLAYER	
[4/17/23 12:16PM] Astro used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Astro used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Astro used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Astro used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Astro used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Astro used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Astro used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:22PM] Astro used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:22PM] Astro used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:22PM] Astro used command ::shops | Player rights = GRACEFUL_DONATOR	
