[4/20/23 12:32PM] Magnet used command ::Ref | Player rights = PLAYER	
[4/20/23 12:32PM] Magnet used command ::ref | Player rights = PLAYER	
[4/21/23 12:08AM] Magnet used command ::bank | Player rights = PLAYER	
[4/21/23 12:26AM] Magnet used command ::home | Player rights = PLAYER	
[4/21/23 12:27AM] Magnet used command ::bank | Player rights = PLAYER	
[4/22/23 12:46AM] Magnet used command ::collectionlog | Player rights = PLAYER	
[4/22/23 01:18AM] Magnet used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:18AM] Magnet used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:18AM] Magnet used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:24AM] Magnet used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:25AM] Magnet used command ::Reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:25AM] Magnet used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:26AM] Magnet used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:26AM] Magnet used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:10AM] Magnet used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Magnet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:40AM] Magnet used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:46AM] Magnet used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:47AM] Magnet used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:47AM] Magnet used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:47AM] Magnet used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:48AM] Magnet used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:48AM] Magnet used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:50AM] Magnet used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:54AM] Magnet used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:02AM] Magnet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:11AM] Magnet used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:32AM] Magnet used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:41AM] Magnet used command ::vaigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:41AM] Magnet used command ::Vaigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:41AM] Magnet used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 06:29AM] Magnet used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 06:35AM] Magnet used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 06:38AM] Magnet used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 06:43AM] Magnet used command ::items | Player rights = CLERIC_DONATOR	
[4/26/23 06:44AM] Magnet used command ::gear | Player rights = CLERIC_DONATOR	
[4/26/23 06:44AM] Magnet used command ::bis | Player rights = CLERIC_DONATOR	
[4/27/23 02:35AM] Magnet used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 02:57AM] Magnet used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 02:57AM] Magnet used command ::pickaxe | Player rights = CLERIC_DONATOR	
