[4/17/23 05:02PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/17/23 05:03PM] Smartass used command ::train | Player rights = PLAYER	
[4/17/23 05:04PM] Smartass used command ::ref | Player rights = PLAYER	
[4/17/23 05:04PM] Smartass used command ::ref | Player rights = PLAYER	
[4/17/23 05:05PM] Smartass used command ::ref | Player rights = PLAYER	
[4/17/23 05:07PM] Smartass used command ::train | Player rights = PLAYER	
[4/17/23 06:32PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/17/23 07:03PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/17/23 07:33PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/17/23 07:33PM] Smartass used command ::golden | Player rights = PLAYER	
[4/17/23 07:34PM] Smartass used command ::golden | Player rights = PLAYER	
[4/17/23 07:34PM] Smartass used command ::home | Player rights = PLAYER	
[4/17/23 07:34PM] Smartass used command ::ninetales | Player rights = PLAYER	
[4/17/23 07:34PM] Smartass used command ::ninetales | Player rights = PLAYER	
[4/17/23 07:35PM] Smartass used command ::ninetales | Player rights = PLAYER	
[4/17/23 07:35PM] Smartass used command ::ninetails | Player rights = PLAYER	
[4/17/23 07:35PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/17/23 07:42PM] Smartass used command ::train | Player rights = PLAYER	
[4/17/23 08:16PM] Smartass used command ::meruen | Player rights = PLAYER	
[4/17/23 08:16PM] Smartass used command ::golden | Player rights = PLAYER	
[4/17/23 08:16PM] Smartass used command ::ninetails | Player rights = PLAYER	
[4/17/23 08:17PM] Smartass used command ::verion | Player rights = PLAYER	
[4/17/23 08:17PM] Smartass used command ::varion | Player rights = PLAYER	
[4/17/23 08:17PM] Smartass used command ::meruem | Player rights = PLAYER	
[4/17/23 08:33PM] Smartass used command ::claim | Player rights = PLAYER	
[4/17/23 08:44PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/17/23 08:44PM] Smartass used command ::golden | Player rights = PLAYER	
[4/17/23 08:45PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/17/23 08:59PM] Smartass used command ::golden | Player rights = PLAYER	
[4/17/23 09:00PM] Smartass used command ::ninetails | Player rights = PLAYER	
[4/17/23 09:27PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/17/23 09:30PM] Smartass used command ::ref | Player rights = PLAYER	
[4/17/23 09:30PM] Smartass used command ::ref | Player rights = PLAYER	
[4/17/23 09:54PM] Smartass used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58PM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:11AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:14AM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:14AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:11AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:21AM] Smartass used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:26AM] Smartass used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:29AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:29AM] Smartass used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:42AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:42AM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43AM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:11AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:11AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:35AM] Smartass used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:41AM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:04AM] Smartass used command ::g.   | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:11AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:41AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:41AM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:41AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Smartass used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:11AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:26AM] Smartass used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:00PM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42PM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:29PM] Smartass used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:32PM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:35PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:36PM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:40PM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:40PM] Smartass used command ::ref | Player rights = GRACEFUL_DONATOR	
