[4/15/23 06:34AM] A Fatality used command ::train | Player rights = PLAYER	
[4/15/23 06:35AM] A Fatality used command ::ref | Player rights = PLAYER	
[4/15/23 06:38AM] A Fatality used command ::train | Player rights = PLAYER	
[4/15/23 06:42AM] A Fatality used command ::train | Player rights = PLAYER	
[4/15/23 06:46AM] A Fatality used command ::train | Player rights = PLAYER	
[4/15/23 06:48AM] A Fatality used command ::veigar | Player rights = PLAYER	
[4/15/23 06:51AM] A Fatality used command ::train | Player rights = PLAYER	
[4/15/23 06:52AM] A Fatality used command ::train | Player rights = PLAYER	
[4/15/23 06:52AM] A Fatality used command ::bank | Player rights = PLAYER	
[4/15/23 06:52AM] A Fatality used command ::bank | Player rights = PLAYER	
[4/15/23 06:52AM] A Fatality used command ::bank | Player rights = PLAYER	
[4/15/23 06:52AM] A Fatality used command ::bank | Player rights = PLAYER	
[4/15/23 06:52AM] A Fatality used command ::home | Player rights = PLAYER	
[4/15/23 06:52AM] A Fatality used command ::train | Player rights = PLAYER	
[4/15/23 06:58AM] A Fatality used command ::train | Player rights = PLAYER	
[4/15/23 09:08AM] A Fatality used command ::walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:11AM] A Fatality used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] A Fatality used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:21AM] A Fatality used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:23AM] A Fatality used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29AM] A Fatality used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] A Fatality used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:55AM] A Fatality used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:55AM] A Fatality used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:55AM] A Fatality used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:56AM] A Fatality used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:57AM] A Fatality used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:14PM] A Fatality used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:26PM] A Fatality used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] A Fatality used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] A Fatality used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:29PM] A Fatality used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] A Fatality used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:38PM] A Fatality used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:36PM] A Fatality used command ::guides | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:36PM] A Fatality used command ::guide | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:59PM] A Fatality used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:29PM] A Fatality used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:51PM] A Fatality used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:29PM] A Fatality used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:30PM] A Fatality used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:44PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 07:49PM] A Fatality used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/15/23 07:49PM] A Fatality used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 07:52PM] A Fatality used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 07:57PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 07:59PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 07:59PM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 08:29PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 08:30PM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 08:32PM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 08:33PM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 08:34PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 08:59PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 09:15PM] A Fatality used command ::totem | Player rights = CLERIC_DONATOR	
[4/15/23 09:20PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 09:28PM] A Fatality used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/15/23 09:30PM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 09:31PM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 09:40PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 09:46PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 09:58PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 10:05PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 10:10PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 10:12PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 10:13PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 10:14PM] A Fatality used command ::afk | Player rights = CLERIC_DONATOR	
[4/15/23 10:15PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 10:16PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 10:20PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 10:28PM] A Fatality used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 10:29PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 10:30PM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 10:31PM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 10:49PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 10:54PM] A Fatality used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:00PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:01PM] A Fatality used command ::yell no pos items , they disappeared | Player rights = CLERIC_DONATOR	
[4/15/23 11:04PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:04PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:08PM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 11:09PM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:10PM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:25PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:27PM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 11:31PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 11:33PM] A Fatality used command ::totem | Player rights = CLERIC_DONATOR	
[4/15/23 11:43PM] A Fatality used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:44PM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 12:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:53AM] A Fatality used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:21AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:28AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:31AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:25AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:26AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:27AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:44AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:46AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:48AM] A Fatality used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:54AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:57AM] A Fatality used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:59AM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 03:00AM] A Fatality used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 03:00AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:00AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:15AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:25AM] A Fatality used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 03:25AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:26AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29AM] A Fatality used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:45AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:47AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 04:49AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 04:53AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:26AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:34AM] A Fatality used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 05:37AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:43AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:46AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
