[4/17/23 08:15PM] Doidao used command ::ref | Player rights = PLAYER	
[4/17/23 08:17PM] Doidao used command ::bank | Player rights = PLAYER	
[4/17/23 08:17PM] Doidao used command ::Freedonator | Player rights = PLAYER	
[4/17/23 08:18PM] Doidao used command ::home | Player rights = PLAYER	
[4/17/23 08:19PM] Doidao used command ::start | Player rights = PLAYER	
[4/17/23 08:28PM] Doidao used command ::home | Player rights = PLAYER	
[4/17/23 08:31PM] Doidao used command ::start | Player rights = PLAYER	
[4/17/23 08:33PM] Doidao used command ::claim | Player rights = PLAYER	
[4/17/23 08:44PM] Doidao used command ::veigar | Player rights = PLAYER	
[4/17/23 08:46PM] Doidao used command ::home | Player rights = PLAYER	
[4/17/23 08:51PM] Doidao used command ::perks | Player rights = PLAYER	
[4/17/23 09:56PM] Doidao used command ::home | Player rights = PLAYER	
[4/17/23 09:57PM] Doidao used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:58PM] Doidao used command ::veigar | Player rights = PLAYER	
[4/17/23 10:00PM] Doidao used command ::home | Player rights = PLAYER	
[4/17/23 10:08PM] Doidao used command ::home | Player rights = PLAYER	
[4/17/23 10:16PM] Doidao used command ::home | Player rights = PLAYER	
[4/17/23 10:19PM] Doidao used command ::ref | Player rights = PLAYER	
[4/17/23 10:28PM] Doidao used command ::veigar | Player rights = PLAYER	
[4/17/23 10:30PM] Doidao used command ::veigart | Player rights = PLAYER	
[4/17/23 10:30PM] Doidao used command ::veigar | Player rights = PLAYER	
[4/17/23 10:41PM] Doidao used command ::viga | Player rights = PLAYER	
[4/17/23 10:41PM] Doidao used command ::veigar | Player rights = PLAYER	
[4/17/23 10:42PM] Doidao used command ::veigar | Player rights = PLAYER	
[4/17/23 10:43PM] Doidao used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:44PM] Doidao used command ::golden | Player rights = PLAYER	
[4/17/23 10:44PM] Doidao used command ::muruem | Player rights = PLAYER	
[4/17/23 10:44PM] Doidao used command ::muruem | Player rights = PLAYER	
[4/17/23 10:45PM] Doidao used command ::vboss | Player rights = PLAYER	
[4/17/23 10:56PM] Doidao used command ::bank | Player rights = PLAYER	
