[4/15/23 01:54PM] Dedmojo used command ::Dropoff | Player rights = PLAYER	
[4/15/23 01:55PM] Dedmojo used command ::dropon | Player rights = PLAYER	
[4/15/23 01:55PM] Dedmojo used command ::vote | Player rights = PLAYER	
[4/15/23 01:57PM] Dedmojo used command ::reward 1 | Player rights = PLAYER	
[4/15/23 01:59PM] Dedmojo used command ::veigar | Player rights = PLAYER	
[4/15/23 02:02PM] Dedmojo used command ::voteboss | Player rights = PLAYER	
[4/15/23 02:29PM] Dedmojo used command ::veigar | Player rights = PLAYER	
[4/15/23 02:58PM] Dedmojo used command ::veigar | Player rights = PLAYER	
[4/15/23 03:05PM] Dedmojo used command ::store | Player rights = PLAYER	
[4/15/23 03:07PM] Dedmojo used command ::claim | Player rights = PLAYER	
[4/15/23 03:07PM] Dedmojo used command ::claim | Player rights = PLAYER	
[4/15/23 03:07PM] Dedmojo used command ::claim | Player rights = PLAYER	
[4/15/23 03:26PM] Dedmojo used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:26PM] Dedmojo used command ::vote | Player rights = PLAYER	
[4/15/23 03:26PM] Dedmojo used command ::claimvote | Player rights = PLAYER	
[4/15/23 03:28PM] Dedmojo used command ::claimvote | Player rights = PLAYER	
[4/15/23 03:28PM] Dedmojo used command ::veigar | Player rights = PLAYER	
[4/15/23 03:29PM] Dedmojo used command ::claimvote | Player rights = PLAYER	
[4/15/23 03:29PM] Dedmojo used command ::reward 1 | Player rights = PLAYER	
[4/15/23 03:59PM] Dedmojo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:59PM] Dedmojo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:28PM] Dedmojo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:34PM] Dedmojo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:54PM] Dedmojo used command ::ref walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:59PM] Dedmojo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:08PM] Dedmojo used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:08PM] Dedmojo used command ::ddr | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:29PM] Dedmojo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29PM] Dedmojo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:20PM] Dedmojo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:43PM] Dedmojo used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:43PM] Dedmojo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:44PM] Dedmojo used command ::afk | Player rights = GRACEFUL_DONATOR	
