[4/16/23 06:02AM] Dopamine used command ::dr | Player rights = PLAYER	
[4/16/23 06:02AM] Dopamine used command ::ref | Player rights = PLAYER	
[4/16/23 06:29AM] Dopamine used command ::dr | Player rights = PLAYER	
[4/16/23 06:30AM] Dopamine used command ::meruem | Player rights = PLAYER	
[4/16/23 06:31AM] Dopamine used command ::vboss | Player rights = PLAYER	
[4/16/23 06:37AM] Dopamine used command ::upgrade | Player rights = PLAYER	
[4/16/23 06:52AM] Dopamine used command ::junk | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Dopamine used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:57AM] Dopamine used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:57AM] Dopamine used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:59AM] Dopamine used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:59AM] Dopamine used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:00AM] Dopamine used command ::yell @red@Has received MEGA RARE: <img=2> @yel@One-Shot Ring (i). | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:01AM] Dopamine used command ::yell @red@Has received @cya@MEGA RARE: @yel@One-Shot Ring (i). | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:02AM] Dopamine used command ::title 420 | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:02AM] Dopamine used command ::customtitle 420 | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:05AM] Dopamine used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Dopamine used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Dopamine used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24AM] Dopamine used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:25AM] Dopamine used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:25AM] Dopamine used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53AM] Dopamine used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53AM] Dopamine used command ::benefits | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23AM] Dopamine used command ::veigar | Player rights = GRACEFUL_DONATOR	
