[4/18/23 01:27PM] Freefame used command ::vote | Player rights = PLAYER	
[4/18/23 01:27PM] Freefame used command ::refer | Player rights = PLAYER	
[4/18/23 01:29PM] Freefame used command ::vboss | Player rights = PLAYER	
[4/18/23 01:33PM] Freefame used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 01:33PM] Freefame used command ::home | Player rights = PLAYER	
[4/18/23 01:35PM] Freefame used command ::afk | Player rights = PLAYER	
[4/18/23 01:40PM] Freefame used command ::veigar | Player rights = PLAYER	
[4/18/23 01:41PM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/18/23 01:42PM] Freefame used command ::golden | Player rights = PLAYER	
[4/18/23 01:42PM] Freefame used command ::veigar | Player rights = PLAYER	
[4/18/23 01:43PM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 07:15AM] Freefame used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 07:16AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 07:22AM] Freefame used command ::vboss | Player rights = PLAYER	
[4/19/23 07:23AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 07:25AM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/19/23 07:28AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 07:46AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 07:47AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 07:48AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 08:16AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 08:18AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 08:46AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 08:47AM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/19/23 08:49AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 10:40AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 10:44AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 10:45AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 11:14AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 11:15AM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:16AM] Freefame used command ::meruem | Player rights = PLAYER	
[4/19/23 11:17AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 11:19AM] Freefame used command ::vboss | Player rights = PLAYER	
[4/19/23 11:22AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 11:42AM] Freefame used command ::vboss | Player rights = PLAYER	
[4/19/23 11:43AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Freefame used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Freefame used command ::golden | Player rights = PLAYER	
[4/19/23 11:49AM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 12:13PM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Freefame used command ::vboss | Player rights = PLAYER	
[4/19/23 12:16PM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Freefame used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Freefame used command ::golden | Player rights = PLAYER	
[4/19/23 12:19PM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 12:44PM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Freefame used command ::vboss | Player rights = PLAYER	
[4/19/23 12:47PM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 01:14PM] Freefame used command ::veigar | Player rights = PLAYER	
[4/19/23 01:15PM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/19/23 01:16PM] Freefame used command ::meruem | Player rights = PLAYER	
[4/19/23 01:17PM] Freefame used command ::afk | Player rights = PLAYER	
[4/19/23 01:20PM] Freefame used command ::vboss | Player rights = PLAYER	
[4/19/23 01:25PM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 07:27AM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 07:29AM] Freefame used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 07:34AM] Freefame used command ::vboss | Player rights = PLAYER	
[4/20/23 07:36AM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 07:49AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/20/23 07:51AM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 08:19AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/20/23 08:21AM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:23AM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 08:49AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/20/23 08:52AM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 09:19AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/20/23 09:21AM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/20/23 09:22AM] Freefame used command ::meruem | Player rights = PLAYER	
[4/20/23 09:23AM] Freefame used command ::golden | Player rights = PLAYER	
[4/20/23 09:24AM] Freefame used command ::vboss | Player rights = PLAYER	
[4/20/23 09:28AM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 09:49AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/20/23 11:18AM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 11:19AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/20/23 11:21AM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:22AM] Freefame used command ::meruem | Player rights = PLAYER	
[4/20/23 11:24AM] Freefame used command ::afk | Player rights = PLAYER	
[4/20/23 12:18PM] Freefame used command ::veigar | Player rights = PLAYER	
[4/20/23 12:20PM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/20/23 12:21PM] Freefame used command ::golden | Player rights = PLAYER	
[4/20/23 12:22PM] Freefame used command ::Vboss | Player rights = PLAYER	
[4/20/23 12:25PM] Freefame used command ::afk | Player rights = PLAYER	
[4/21/23 02:27AM] Freefame used command ::vboss | Player rights = PLAYER	
[4/21/23 02:29AM] Freefame used command ::afk | Player rights = PLAYER	
[4/21/23 02:33AM] Freefame used command ::veigar | Player rights = PLAYER	
[4/21/23 02:35AM] Freefame used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:37AM] Freefame used command ::meruem | Player rights = PLAYER	
[4/21/23 02:39AM] Freefame used command ::golden | Player rights = PLAYER	
[4/21/23 02:41AM] Freefame used command ::afk | Player rights = PLAYER	
