[4/15/23 09:51PM] Drops used command ::ref | Player rights = PLAYER	
[4/15/23 09:57PM] Drops used command ::upgrade | Player rights = PLAYER	
[4/15/23 09:59PM] Drops used command ::veiger | Player rights = PLAYER	
[4/15/23 10:03PM] Drops used command ::starter | Player rights = PLAYER	
[4/15/23 10:08PM] Drops used command ::home | Player rights = PLAYER	
[4/15/23 10:09PM] Drops used command ::starter | Player rights = PLAYER	
[4/15/23 10:28PM] Drops used command ::voteboss | Player rights = PLAYER	
[4/15/23 10:29PM] Drops used command ::Veigar | Player rights = PLAYER	
[4/15/23 10:30PM] Drops used command ::ninetails | Player rights = PLAYER	
[4/15/23 10:31PM] Drops used command ::meruem | Player rights = PLAYER	
[4/15/23 10:47PM] Drops used command ::home | Player rights = PLAYER	
[4/15/23 10:48PM] Drops used command ::vote | Player rights = PLAYER	
[4/15/23 10:50PM] Drops used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 10:54PM] Drops used command ::voteboss | Player rights = PLAYER	
[4/15/23 11:04PM] Drops used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:07PM] Drops used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Drops used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Drops used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Drops used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:10PM] Drops used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Drops used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Drops used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Drops used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Drops used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:53PM] Drops used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:19AM] Drops used command ::curses | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23AM] Drops used command ::vegiar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23AM] Drops used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:24AM] Drops used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:36AM] Drops used command ::Dropsoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:36AM] Drops used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:37AM] Drops used command ::nodrops | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:42AM] Drops used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:43AM] Drops used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:50AM] Drops used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:53AM] Drops used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:56AM] Drops used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:02AM] Drops used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:09AM] Drops used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:13AM] Drops used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:21AM] Drops used command ::players | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Drops used command ::players | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Drops used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Drops used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Drops used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Drops used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41AM] Drops used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Drops used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Drops used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Drops used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Drops used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Drops used command ::vegiar | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Drops used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Drops used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Drops used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Drops used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Drops used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:09PM] Drops used command ::vegiar | Player rights = CLERIC_DONATOR	
[4/16/23 10:09PM] Drops used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:32AM] Drops used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34AM] Drops used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:34AM] Drops used command ::meruem | Player rights = CLERIC_DONATOR	
