[4/15/23 06:38AM] Rotter used command ::vote | Player rights = PLAYER	
[4/15/23 06:39AM] Rotter used command ::reward1 | Player rights = PLAYER	
[4/15/23 06:39AM] Rotter used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:39AM] Rotter used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:40AM] Rotter used command ::reward 1 | Player rights = PLAYER	
[4/15/23 06:41AM] Rotter used command ::ref | Player rights = PLAYER	
[4/15/23 06:46AM] Rotter used command ::bank | Player rights = PLAYER	
[4/15/23 06:47AM] Rotter used command ::upgrade | Player rights = PLAYER	
[4/15/23 06:48AM] Rotter used command ::progress | Player rights = PLAYER	
[4/15/23 06:48AM] Rotter used command ::progression | Player rights = PLAYER	
[4/15/23 06:48AM] Rotter used command ::veigar | Player rights = PLAYER	
[4/15/23 06:49AM] Rotter used command ::progress | Player rights = PLAYER	
[4/15/23 06:49AM] Rotter used command ::progression | Player rights = PLAYER	
[4/15/23 06:55AM] Rotter used command ::totem | Player rights = PLAYER	
[4/15/23 06:59AM] Rotter used command ::prayer | Player rights = PLAYER	
[4/15/23 07:21AM] Rotter used command ::kills | Player rights = PLAYER	
[4/15/23 10:59AM] Rotter used command ::veigar | Player rights = PLAYER	
[4/15/23 11:14AM] Rotter used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:14AM] Rotter used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23AM] Rotter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23AM] Rotter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25AM] Rotter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:26AM] Rotter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:28AM] Rotter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:48AM] Rotter used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:51AM] Rotter used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:52AM] Rotter used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53AM] Rotter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Rotter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:27AM] Rotter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Rotter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29AM] Rotter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Rotter used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Rotter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:18AM] Rotter used command ::poss | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:18AM] Rotter used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:06AM] Rotter used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:07AM] Rotter used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:07AM] Rotter used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:08AM] Rotter used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:08AM] Rotter used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
