[4/16/23 11:31PM] Tazm94 used command ::reffer | Player rights = PLAYER	
[4/16/23 11:31PM] Tazm94 used command ::referal | Player rights = PLAYER	
[4/16/23 11:31PM] Tazm94 used command ::reffer | Player rights = PLAYER	
[4/16/23 11:31PM] Tazm94 used command ::refer | Player rights = PLAYER	
[4/16/23 11:32PM] Tazm94 used command ::refer | Player rights = PLAYER	
[4/16/23 11:32PM] Tazm94 used command ::donate | Player rights = PLAYER	
[4/16/23 11:32PM] Tazm94 used command ::train | Player rights = PLAYER	
[4/16/23 11:34PM] Tazm94 used command ::train | Player rights = PLAYER	
[4/16/23 11:36PM] Tazm94 used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 11:38PM] Tazm94 used command ::train | Player rights = PLAYER	
[4/16/23 11:39PM] Tazm94 used command ::ref | Player rights = PLAYER	
[4/16/23 11:48PM] Tazm94 used command ::meruem | Player rights = PLAYER	
[4/16/23 11:53PM] Tazm94 used command ::train | Player rights = PLAYER	
