[4/16/23 07:06PM] Arthas used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 07:09PM] Arthas used command ::pos | Player rights = PLAYER	
[4/16/23 07:17PM] Arthas used command ::pos | Player rights = PLAYER	
[4/16/23 07:23PM] Arthas used command ::vot | Player rights = PLAYER	
[4/16/23 07:23PM] Arthas used command ::vote | Player rights = PLAYER	
[4/16/23 07:23PM] Arthas used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:23PM] Arthas used command ::merum | Player rights = PLAYER	
[4/16/23 07:24PM] Arthas used command ::merum | Player rights = PLAYER	
[4/16/23 07:25PM] Arthas used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:27PM] Arthas used command ::reward  1 | Player rights = PLAYER	
[4/16/23 07:27PM] Arthas used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 07:32PM] Arthas used command ::store | Player rights = PLAYER	
[4/16/23 07:49PM] Arthas used command ::starter | Player rights = PLAYER	
[4/16/23 08:11PM] Arthas used command ::veigar | Player rights = PLAYER	
[4/16/23 08:11PM] Arthas used command ::home | Player rights = PLAYER	
[4/16/23 08:23PM] Arthas used command ::veigar | Player rights = PLAYER	
[4/16/23 08:23PM] Arthas used command ::veigar | Player rights = PLAYER	
[4/16/23 08:24PM] Arthas used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:25PM] Arthas used command ::golden | Player rights = PLAYER	
[4/16/23 08:38PM] Arthas used command ::bank | Player rights = PLAYER	
[4/16/23 09:45PM] Arthas used command ::voteboss | Player rights = PLAYER	
[4/16/23 11:39PM] Arthas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:43PM] Arthas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:46PM] Arthas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:49PM] Arthas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:10AM] Arthas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Arthas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Arthas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Arthas used command ::meruem | Player rights = GRACEFUL_DONATOR	
