[4/20/23 08:52AM] Fairy used command ::totem | Player rights = PLAYER	
[4/20/23 08:52AM] Fairy used command ::train | Player rights = PLAYER	
[4/20/23 09:05AM] Fairy used command ::bank | Player rights = PLAYER	
[4/20/23 09:06AM] Fairy used command ::altar | Player rights = PLAYER	
[4/20/23 09:07AM] Fairy used command ::ref | Player rights = PLAYER	
[4/20/23 09:19AM] Fairy used command ::veigar | Player rights = PLAYER	
[4/20/23 09:20AM] Fairy used command ::pos | Player rights = PLAYER	
[4/20/23 09:35AM] Fairy used command ::afk | Player rights = PLAYER	
[4/20/23 09:35AM] Fairy used command ::shops | Player rights = PLAYER	
[4/20/23 09:35AM] Fairy used command ::shops | Player rights = PLAYER	
[4/20/23 09:35AM] Fairy used command ::pos | Player rights = PLAYER	
[4/20/23 09:35AM] Fairy used command ::commands | Player rights = PLAYER	
[4/20/23 09:35AM] Fairy used command ::shops | Player rights = PLAYER	
[4/20/23 09:36AM] Fairy used command ::af | Player rights = PLAYER	
[4/20/23 09:36AM] Fairy used command ::afk | Player rights = PLAYER	
[4/21/23 11:32PM] Fairy used command ::veigar | Player rights = PLAYER	
[4/21/23 11:38PM] Fairy used command ::voteboss | Player rights = PLAYER	
[4/21/23 11:49PM] Fairy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32AM] Fairy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Fairy used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Fairy used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Fairy used command ::checkdaily | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Fairy used command ::daily | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Fairy used command ::checkdaily | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Fairy used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:41AM] Fairy used command ::items | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:41AM] Fairy used command ::bis | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:41AM] Fairy used command ::list | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:55AM] Fairy used command ::ezone | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:03AM] Fairy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:15AM] Fairy used command ::gzone | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:22AM] Fairy used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:30AM] Fairy used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:32AM] Fairy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:45AM] Fairy used command ::votebos | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:45AM] Fairy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:46AM] Fairy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:02AM] Fairy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:05AM] Fairy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28AM] Fairy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28AM] Fairy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28AM] Fairy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28AM] Fairy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28AM] Fairy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28AM] Fairy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:33AM] Fairy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34AM] Fairy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:56AM] Fairy used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:56AM] Fairy used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:58AM] Fairy used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:03AM] Fairy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:03AM] Fairy used command ::rules | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:07AM] Fairy used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:32AM] Fairy used command ::vinegar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:40AM] Fairy used command ::dz | Player rights = CLERIC_DONATOR	
[4/22/23 05:40AM] Fairy used command ::dzone | Player rights = CLERIC_DONATOR	
[4/22/23 05:49AM] Fairy used command ::tasks | Player rights = CLERIC_DONATOR	
[4/22/23 05:50AM] Fairy used command ::shop | Player rights = CLERIC_DONATOR	
[4/22/23 05:50AM] Fairy used command ::shops | Player rights = CLERIC_DONATOR	
[4/22/23 05:50AM] Fairy used command ::shops | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Fairy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Fairy used command ::npc  | Player rights = CLERIC_DONATOR	
[4/22/23 10:41AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:47AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:02AM] Fairy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:05AM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:06AM] Fairy used command ::czone | Player rights = CLERIC_DONATOR	
[4/22/23 11:06AM] Fairy used command ::voteboss | Player rights = CLERIC_DONATOR	
