[4/19/23 11:57AM] Elven used command ::train | Player rights = PLAYER	
[4/19/23 12:04PM] Elven used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/19/23 12:06PM] Elven used command ::home | Player rights = PLAYER	
[4/19/23 12:08PM] Elven used command ::train | Player rights = PLAYER	
[4/19/23 12:14PM] Elven used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Elven used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:16PM] Elven used command ::train | Player rights = PLAYER	
[4/19/23 12:17PM] Elven used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Elven used command ::wr3cked | Player rights = PLAYER	
[4/19/23 12:18PM] Elven used command ::golden | Player rights = PLAYER	
[4/19/23 12:18PM] Elven used command ::golden | Player rights = PLAYER	
[4/19/23 12:19PM] Elven used command ::train | Player rights = PLAYER	
[4/19/23 12:19PM] Elven used command ::home | Player rights = PLAYER	
[4/19/23 12:33PM] Elven used command ::vote | Player rights = PLAYER	
[4/19/23 12:36PM] Elven used command ::reward1 | Player rights = PLAYER	
[4/19/23 12:36PM] Elven used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:43PM] Elven used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Elven used command ::home | Player rights = PLAYER	
[4/19/23 12:45PM] Elven used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:47PM] Elven used command ::legend | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Elven used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:52PM] Elven used command ::train | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:56PM] Elven used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:05PM] Elven used command ::boss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:19PM] Elven used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:32PM] Elven used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:33PM] Elven used command ::yellowzone | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34PM] Elven used command ::yellowzone | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:44PM] Elven used command ::veidar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:44PM] Elven used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:46PM] Elven used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:46PM] Elven used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:36AM] Elven used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:49AM] Elven used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:51AM] Elven used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:13AM] Elven used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:13AM] Elven used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:13AM] Elven used command ::b | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:13AM] Elven used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:14AM] Elven used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:20AM] Elven used command ::veidar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:20AM] Elven used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49AM] Elven used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:18AM] Elven used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21AM] Elven used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:22AM] Elven used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:23AM] Elven used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:24AM] Elven used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:26AM] Elven used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:49AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:52AM] Elven used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 04:03AM] Elven used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 04:04AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 04:04AM] Elven used command ::shops | Player rights = CLERIC_DONATOR	
[4/20/23 04:04AM] Elven used command ::shop | Player rights = CLERIC_DONATOR	
[4/20/23 04:05AM] Elven used command ::afk | Player rights = CLERIC_DONATOR	
