[4/18/23 01:59AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/18/23 01:59AM] Ambercheer used command ::home | Player rights = PLAYER	
[4/18/23 01:59AM] Ambercheer used command ::shops | Player rights = PLAYER	
[4/18/23 02:00AM] Ambercheer used command ::yell where to get pick ax  | Player rights = PLAYER	
[4/18/23 02:02AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/18/23 07:56AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/18/23 08:38AM] Ambercheer used command ::bank | Player rights = PLAYER	
[4/18/23 08:39AM] Ambercheer used command ::veigar | Player rights = PLAYER	
[4/18/23 08:42AM] Ambercheer used command ::ninetails | Player rights = PLAYER	
[4/18/23 08:44AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/18/23 09:40PM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/18/23 10:09PM] Ambercheer used command ::vote | Player rights = PLAYER	
[4/18/23 10:37PM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/19/23 08:51AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/19/23 09:15AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/20/23 12:58AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/20/23 08:52AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/20/23 03:49PM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/20/23 08:55PM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/21/23 06:41AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/21/23 07:22AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/21/23 03:32PM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/21/23 11:16PM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/22/23 09:47AM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/22/23 11:30PM] Ambercheer used command ::afk | Player rights = PLAYER	
[4/22/23 11:32PM] Ambercheer used command ::pos | Player rights = PLAYER	
[4/23/23 08:04AM] Ambercheer used command ::AFK | Player rights = PLAYER	
[4/23/23 10:17AM] Ambercheer used command ::AFK | Player rights = PLAYER	
[4/23/23 12:31PM] Ambercheer used command ::afk | Player rights = PLAYER	
